Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
52.3,52.33,50.87,51.24,2689841,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-10-26
53.0,53.0,48.48,48.82,6614278,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-10-27
48.1,48.6,45.96,46.09,3658453,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-10-28
45.73,46.39,44.5,45.8,4210377,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-10-29
45.75,47.4,45.68,47.2,3085219,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-10-30
47.96,49.21,47.66,48.72,2883783,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-02
49.6,50.95,49.29,50.05,3242650,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-03
49.77,49.77,47.62,47.84,3777239,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-04
48.36,49.98,48.04,49.32,2054752,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-05
49.24,49.67,48.05,48.36,2137407,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-06
52.56,56.91,52.46,55.49,6268074,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-09
56.18,57.42,55.61,57.0,5514236,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-10
57.16,57.79,56.33,57.23,4487099,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-11
56.45,57.23,55.77,56.23,5412329,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-12
56.73,58.41,56.64,58.36,2433579,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-13
60.74,61.96,59.95,61.88,3739445,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-16
61.0,62.31,60.72,61.84,2099978,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-17
61.61,61.73,59.68,59.7,2997755,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-18
59.3,59.54,58.12,59.39,1708082,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-19
59.07,59.82,58.84,59.65,1728390,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-20
60.27,61.47,59.61,61.1,1689762,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-23
62.17,65.12,62.0,64.44,4435569,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-24
63.43,64.55,63.35,64.17,2875011,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-25
63.64,64.27,62.98,63.0,1525550,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-27
63.0,63.95,62.56,63.0,4264043,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-11-30
63.89,64.82,62.85,63.37,2272454,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-01
63.42,64.19,63.15,63.67,2124630,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-02
64.22,65.48,63.85,65.06,2191235,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-03
65.3,65.8,64.74,64.99,2030639,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-04
64.57,64.88,64.0,64.3,2161782,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-07
63.77,64.7,63.68,64.65,1614448,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-08
64.86,65.23,64.04,64.36,1764073,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-09
63.88,64.38,63.4,63.96,1529812,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-10
63.55,65.26,63.53,64.59,1511382,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-11
64.82,64.98,63.57,63.58,2045137,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-14
64.47,64.64,63.28,64.34,1720185,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-15
64.04,64.98,63.84,64.74,1846241,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-16
65.09,65.35,63.13,63.31,1947593,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-17
62.43,62.88,61.25,61.62,3350694,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-18
60.79,60.9,59.05,60.54,2408106,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-21
60.74,61.07,59.47,59.79,2569945,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-22
59.93,62.01,59.88,61.28,1691334,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-23
61.33,61.43,60.76,61.3,346004,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-24
61.8,63.21,61.54,62.38,1300705,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-28
62.46,62.64,61.68,62.05,812725,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-29
62.1,62.65,61.72,61.89,679424,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-30
61.71,62.53,61.36,62.37,988483,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2020-12-31
62.23,62.54,60.37,60.88,1594467,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-04
60.66,62.55,60.66,61.88,1675740,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-05
62.91,67.63,62.91,66.97,3476884,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-06
66.89,67.56,63.84,63.97,2784280,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-07
64.06,64.6,62.5,63.59,2238292,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-08
63.15,64.66,62.72,63.7,1298003,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-11
63.91,64.5,63.36,63.93,1444480,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-12
63.73,64.21,62.49,62.94,1766848,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-13
63.25,63.61,62.56,63.39,1803638,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-14
63.21,63.3,62.09,63.12,1468339,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-15
63.4,64.0,62.94,63.1,1411171,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-19
63.43,63.59,62.6,62.87,1478009,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-20
62.81,63.77,62.47,63.11,1550546,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-21
62.57,63.05,61.79,62.57,1777210,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-22
61.76,63.98,61.46,63.91,1470091,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-25
64.41,65.84,63.53,65.57,2015401,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-26
65.3,68.5,64.5,66.57,3721997,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-27
66.53,67.0,64.47,64.49,2472822,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-28
64.49,64.99,62.25,62.38,2116555,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-01-29
62.38,63.09,61.74,62.86,2059783,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-01
63.56,64.15,62.66,62.68,2025901,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-02
62.5,64.52,62.3,64.17,1571541,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-03
64.17,65.51,63.83,64.86,1641088,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-04
65.08,66.2,65.03,65.88,1274568,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-05
66.13,66.83,65.73,66.75,1093875,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-08
67.08,67.08,66.08,66.74,1165544,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-09
66.83,67.01,64.22,65.07,3146774,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-10
65.07,66.04,63.76,66.02,1580219,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-11
65.93,66.46,65.62,66.25,1069689,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-12
66.34,66.42,65.0,65.9,2231419,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-16
65.52,67.64,65.33,67.1,2372182,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-17
68.05,68.5,66.47,66.76,2957745,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-18
67.04,67.86,66.03,67.65,2100763,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-19
67.83,71.98,67.75,70.58,2622577,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-22
70.95,71.21,69.55,70.7,1744613,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-23
70.46,71.28,69.98,70.88,1387690,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-24
70.86,71.37,68.89,69.07,2475508,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-25
69.33,69.95,68.1,68.73,1825381,0.0,0.0,OMC,Omnicom Group,Communication Services,Advertising,2021-02-26
