Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
9.79,9.84,9.34,9.46,26949092,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-10-26
9.4,9.5,9.27,9.27,20905991,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-10-27
8.98,9.16,8.78,8.88,31511177,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-10-28
8.7,9.18,8.52,9.13,29132467,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-10-29
9.0,9.19,8.85,9.13,23290264,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-10-30
9.26,9.8,9.03,9.65,28736528,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-02
9.89,10.01,9.59,9.69,19385398,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-03
9.66,9.99,9.32,9.81,22640026,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-04
9.77,10.62,9.77,10.47,35226812,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-05
10.34,10.47,9.94,10.01,21914178,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-06
11.55,12.7,11.44,12.23,61511206,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-09
12.08,12.45,11.65,12.38,31684532,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-10
12.69,12.7,11.74,11.9,29011215,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-11
11.58,11.96,11.18,11.31,19852146,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-12
11.4,11.93,11.37,11.8,17049347,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-13
12.5,12.71,12.25,12.7,24849255,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-16
12.36,12.99,12.26,12.99,18868794,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-17
13.08,13.72,12.86,12.87,29928416,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-18
12.67,13.42,12.56,13.36,20446930,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-19
13.69,13.71,13.3,13.49,20564976,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-20
13.85,15.81,13.83,15.76,45228992,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-23
16.97,17.27,16.31,16.78,55176026,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-24
16.65,17.1,15.94,16.72,30407649,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-25
16.72,16.95,16.34,16.56,13239878,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-27
16.24,16.55,15.72,15.76,31390173,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-11-30
15.9,16.14,14.97,15.13,31882609,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-01
14.92,16.51,14.77,15.89,33264383,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-02
16.03,16.74,15.66,16.39,26795250,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-03
16.91,18.61,16.9,18.59,53186925,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-04
17.83,18.68,17.55,18.19,32669171,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-07
17.86,19.3,17.82,19.13,33142038,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-08
19.65,20.4,18.82,19.39,44975038,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-09
19.4,21.61,19.3,21.31,52526124,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-10
21.21,21.35,20.35,20.89,30981969,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-11
21.43,21.65,19.08,19.17,36445013,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-14
19.56,20.18,18.82,19.84,27259086,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-15
19.77,19.88,19.24,19.45,17265779,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-16
19.72,19.77,19.1,19.18,17811071,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-17
19.07,19.48,18.45,18.52,39370799,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-18
17.01,18.03,16.94,17.47,30604852,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-21
17.5,17.57,16.88,16.92,21727870,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-22
17.13,18.39,17.05,17.89,24245997,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-23
18.17,18.17,17.4,17.67,9203916,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-24
17.72,18.11,17.35,17.4,14868499,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-28
17.59,17.79,17.09,17.24,18232121,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-29
17.21,18.14,17.14,17.91,16630459,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-30
17.81,17.92,17.3,17.31,15300471,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2020-12-31
17.75,17.98,17.32,17.45,18798224,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-04
17.8,19.95,17.65,19.21,37450896,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-05
19.52,20.28,18.97,20.0,37473244,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-06
20.21,21.15,20.03,20.57,24560069,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-07
20.88,21.03,19.87,20.08,18423530,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-08
19.25,20.18,19.0,20.08,15418997,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-11
20.59,22.79,20.27,22.62,37544703,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-12
22.69,22.78,22.13,22.33,20024078,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-13
22.84,24.6,22.62,24.24,30238145,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-14
23.45,23.71,22.36,22.39,25196402,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-15
23.05,23.75,22.87,23.07,22213653,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-19
23.27,23.53,22.74,23.02,14891801,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-20
22.91,22.99,21.44,21.54,19479947,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-21
20.67,21.6,20.26,21.49,18034289,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-22
21.0,21.62,20.67,21.51,15690494,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-25
21.9,22.42,20.35,20.38,19279710,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-26
19.99,21.66,19.46,20.58,25933266,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-27
20.8,21.49,20.23,20.95,16649932,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-28
20.66,21.38,19.73,20.06,20108905,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-01-29
20.63,20.75,19.8,20.39,13910718,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-01
21.49,21.77,20.62,20.73,15748580,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-02
20.98,22.16,20.86,22.02,18428130,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-03
22.33,22.59,21.66,22.3,13412556,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-04
22.83,23.14,22.2,22.56,13410276,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-05
23.02,25.5,23.0,25.45,31833166,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-08
24.6,25.15,24.1,24.65,20963528,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-09
24.83,25.79,24.8,25.6,22603336,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-10
25.4,25.41,24.08,24.98,15343557,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-11
24.69,25.75,24.56,25.39,12527737,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-12
26.66,26.95,25.88,26.46,19636534,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-16
26.84,27.18,25.85,26.73,15523627,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-17
26.45,26.73,25.21,25.28,15439803,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-18
25.32,25.9,25.03,25.42,15197308,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-19
25.99,27.46,25.82,26.47,22975208,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-22
26.29,26.65,24.42,26.06,22847073,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-23
26.5,28.68,25.96,28.16,27900674,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-24
28.17,28.54,26.45,26.75,21323645,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-25
26.26,27.01,25.2,26.61,21807923,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-02-26
27.37,28.28,27.01,27.64,16353123,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-03-01
27.59,28.51,27.32,27.82,16715765,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-03-02
28.0,29.45,28.0,28.66,20613709,0.0,0.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,2021-03-03
