Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
10.18,10.33,10.0,10.03,17433461,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-10-26
10.03,10.18,9.91,9.91,8366646,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-10-27
9.8,9.96,9.7,9.7,12141068,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-10-28
9.65,9.84,9.46,9.74,11104900,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-10-29
9.71,9.82,9.47,9.56,10385224,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-10-30
9.6,9.71,9.48,9.65,8501928,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-02
9.69,9.83,9.55,9.67,10062577,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-03
9.62,10.13,9.62,10.06,10927505,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-04
10.25,10.25,9.82,9.83,7432242,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-05
9.94,10.16,9.88,10.15,9402209,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-06
10.23,10.54,10.23,10.42,17903808,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-09
10.42,10.48,10.21,10.41,10717709,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-10
10.49,10.87,10.42,10.71,16888764,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-11
10.85,11.35,10.71,11.1,35043645,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-12
11.18,11.42,10.96,11.4,22744940,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-13
11.46,11.73,11.4,11.54,17450756,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-16
11.75,11.92,11.65,11.72,25559871,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-17
12.1,12.86,12.02,12.65,51974687,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-18
12.63,12.74,12.2,12.29,24571193,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-19
12.36,12.76,12.32,12.66,18036765,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-20
12.77,12.88,12.64,12.7,15505822,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-23
12.83,12.9,12.71,12.82,23026260,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-24
12.77,12.8,12.42,12.64,20562988,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-25
12.64,12.91,12.64,12.73,10388349,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-27
12.73,12.87,12.53,12.7,49134549,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-11-30
12.75,12.82,12.55,12.69,14676768,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-01
12.62,12.68,12.4,12.53,11637806,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-02
12.6,12.68,12.5,12.6,13132681,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-03
12.66,12.68,12.26,12.49,13640619,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-04
12.4,12.57,12.31,12.53,16419507,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-07
12.45,12.52,12.28,12.32,11785102,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-08
12.32,12.45,12.21,12.39,20164540,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-09
12.47,12.5,11.92,12.02,19040840,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-10
11.89,12.17,11.85,11.94,9704452,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-11
11.93,12.09,11.79,11.85,10465790,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-14
11.8,12.2,11.57,12.2,16378800,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-15
12.33,12.38,11.96,12.06,16553354,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-16
12.17,12.33,12.12,12.24,18468435,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-17
12.2,12.37,12.08,12.27,32844769,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-18
12.07,12.29,12.02,12.26,19351487,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-21
12.22,12.44,12.11,12.44,19280514,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-22
12.44,12.65,12.43,12.51,17373141,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-23
12.5,12.56,12.34,12.39,4560970,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-24
12.31,12.46,12.27,12.32,9509009,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-28
12.32,12.42,11.9,11.96,12219651,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-29
11.99,12.37,11.99,12.34,9379582,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-30
12.26,12.51,12.23,12.46,8378101,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2020-12-31
12.48,12.53,12.21,12.21,10216616,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-04
12.32,12.39,12.21,12.38,9257978,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-05
12.29,12.45,12.21,12.38,10141722,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-06
12.35,12.43,12.21,12.31,13262394,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-07
12.34,12.36,12.16,12.24,10396792,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-08
12.13,12.21,11.99,12.21,17036698,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-11
12.15,12.23,12.09,12.18,8243915,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-12
12.2,12.21,12.05,12.1,8431538,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-13
12.16,12.2,11.8,11.83,10588407,0.0,0.0,PCG,PG&E Corporation,Utilities,Multi-Utilities,2021-01-14
