Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
141.5,142.05,140.01,141.3,5393500,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-10-26
141.94,143.34,141.65,142.36,6906084,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-10-27
140.45,140.94,137.31,137.66,8298205,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-10-28
137.35,139.09,135.8,137.57,5602329,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-10-29
137.18,137.99,134.68,137.1,6535780,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-10-30
138.51,140.0,137.44,138.5,6828813,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-02
139.32,142.66,139.32,141.22,6324220,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-03
140.46,143.0,140.27,140.64,5939065,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-04
142.44,143.53,141.78,142.38,5789619,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-05
142.67,144.07,142.38,143.23,4802651,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-06
146.15,146.92,137.6,137.99,13180506,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-09
138.1,140.62,137.15,140.26,7996241,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-10
141.85,143.0,140.65,142.07,5641344,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-11
142.29,142.55,141.07,142.15,5803158,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-12
142.21,144.48,141.88,144.28,6557582,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-13
144.78,144.78,141.26,142.43,8258843,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-16
141.89,143.47,141.75,141.88,6454935,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-17
141.99,142.1,139.66,139.7,6191638,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-18
139.87,140.12,138.45,139.53,5397620,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-19
139.53,140.35,138.63,139.3,5061791,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-20
139.32,139.95,137.86,138.76,4870365,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-23
138.83,139.84,138.07,138.31,7269429,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-24
138.16,139.39,138.04,138.68,8573055,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-25
138.59,138.89,137.53,138.61,4252166,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-27
138.0,139.2,136.74,138.87,11787104,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-11-30
139.16,139.54,138.16,139.37,7288193,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-01
139.37,139.94,137.49,138.36,7069747,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-02
138.09,138.35,135.54,137.34,8837709,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-03
137.21,137.86,135.87,137.47,6772170,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-04
136.61,137.74,136.56,137.68,7035464,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-07
137.02,138.78,136.43,138.05,6658141,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-08
137.83,138.04,136.25,136.41,6898175,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-09
136.52,136.92,135.04,135.51,6900541,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-10
134.46,136.8,134.2,136.51,6717169,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-11
137.02,137.93,135.77,135.85,6570657,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-14
136.39,137.54,136.24,136.65,5499563,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-15
136.71,138.27,136.71,137.27,5484079,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-16
138.01,139.12,137.95,138.25,7527976,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-17
138.26,140.07,137.45,139.04,21997540,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-18
137.96,138.43,136.22,137.52,6871473,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-21
137.29,138.07,136.38,136.55,5126322,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-22
137.39,137.55,136.13,136.34,6129561,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-23
136.2,138.13,136.2,137.72,2588169,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-24
138.15,139.39,137.94,138.68,3792285,0.0,0.0,PG,Procter & Gamble,Consumer Staples,Personal Care Products,2020-12-28
