Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
118.23,118.31,115.19,115.78,442129,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-10-26
115.55,117.9,113.91,113.97,621652,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-10-27
111.94,112.92,110.87,111.93,570764,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-10-28
112.03,115.88,112.03,114.78,461500,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-10-29
114.37,115.25,112.99,114.49,366391,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-10-30
115.73,117.98,115.32,117.87,546401,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-02
119.84,123.99,119.14,123.25,652066,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-03
121.71,121.71,118.12,118.42,399945,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-04
119.6,123.3,119.08,122.54,316612,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-05
122.65,124.74,121.35,123.21,711033,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-06
129.71,131.75,125.33,126.79,840630,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-09
126.93,129.94,126.05,129.94,483390,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-10
130.15,130.65,127.38,127.89,514876,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-11
126.62,126.9,125.12,126.87,425131,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-12
127.2,130.4,127.2,129.95,540627,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-13
132.23,135.0,130.82,134.36,520654,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-16
133.61,136.47,132.29,135.58,661539,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-17
135.57,135.97,131.82,131.89,663728,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-18
131.68,131.68,128.58,129.8,717356,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-19
129.9,130.79,127.64,129.8,593366,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-20
131.23,132.69,130.24,131.47,282561,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-23
133.42,134.93,131.93,134.6,449302,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-24
133.41,134.43,131.51,131.75,363942,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-25
131.36,133.01,130.86,132.77,220538,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-27
131.95,132.21,129.21,130.0,700300,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-11-30
132.53,133.75,131.08,131.94,611974,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-01
131.59,132.86,130.24,131.98,435750,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-02
132.16,133.55,131.17,131.54,473035,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-03
132.3,134.0,132.3,133.17,515532,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-04
134.13,135.02,132.18,134.93,753047,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-07
133.64,137.54,133.64,137.07,523829,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-08
137.01,138.95,135.35,136.32,650191,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-09
135.74,136.97,134.85,135.56,638024,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-10
135.03,136.81,134.23,135.58,568057,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-11
136.66,137.1,131.54,131.68,605288,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-14
132.99,134.58,132.29,134.19,490600,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-15
134.8,136.18,134.51,135.61,558087,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-16
136.0,136.18,134.21,135.65,504249,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-17
134.73,135.11,132.32,134.86,1232527,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-18
133.32,134.58,130.5,133.77,461439,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-21
133.82,134.7,133.34,133.81,601793,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-22
134.12,136.81,133.9,135.73,1028493,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-23
136.27,136.39,134.65,136.1,158929,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-24
137.45,138.0,136.32,136.78,306082,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-28
137.17,137.54,135.48,135.67,308166,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-29
136.14,138.1,136.14,137.47,254893,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-30
137.56,138.28,136.2,137.91,398965,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2020-12-31
138.41,139.46,134.84,135.75,615479,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-04
136.56,138.27,135.26,137.15,1014518,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-05
138.03,145.59,138.03,144.52,885210,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-06
144.69,146.0,144.01,144.95,939696,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-07
145.45,146.57,143.13,144.78,746545,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-08
143.21,146.99,142.71,145.83,719981,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-11
143.7,148.14,143.54,147.23,578140,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-12
145.75,146.28,142.21,143.65,873343,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-13
143.88,144.55,142.6,143.0,992609,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-14
141.47,143.71,140.23,142.53,625517,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-15
143.95,144.3,139.5,139.68,670531,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-19
140.73,141.01,138.71,140.47,583919,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-20
139.98,141.6,139.98,140.55,408746,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-21
140.1,141.11,139.0,140.4,380836,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-22
140.55,142.64,140.01,140.92,757877,0.0,0.0,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2021-01-25
