Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
86.26,86.87,85.29,86.51,971670,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-10-26
86.32,87.13,85.84,85.86,929557,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-10-27
84.81,85.74,82.44,82.77,1446668,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-10-28
82.21,83.99,80.97,83.26,1152642,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-10-29
82.35,83.33,80.0,81.57,1428237,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-10-30
82.08,82.86,80.19,81.07,992049,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-02
82.12,82.82,80.95,81.76,878273,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-03
81.18,85.02,81.18,82.2,1144772,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-04
82.95,85.76,82.67,84.48,989931,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-05
84.25,85.6,83.59,83.79,934439,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-06
86.67,89.85,86.67,87.94,1422059,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-09
88.26,91.06,88.05,90.9,1195778,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-10
90.75,91.88,89.5,89.59,824641,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-11
89.38,89.7,86.72,87.84,902427,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-12
88.33,89.98,88.26,89.46,690975,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-13
91.01,91.4,89.72,90.44,715317,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-16
89.6,90.14,86.72,86.78,1159687,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-17
87.43,88.14,84.52,84.72,1044406,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-18
84.95,85.0,83.25,83.55,781685,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-19
83.34,84.54,83.15,83.25,766522,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-20
83.39,84.73,83.33,84.48,671335,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-23
85.01,86.21,84.76,85.78,789683,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-24
85.55,86.71,84.88,86.52,993582,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-25
86.34,86.34,83.61,83.94,289245,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-27
84.0,84.26,81.36,81.85,1466631,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-11-30
82.7,83.17,82.2,82.35,619363,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-01
81.95,83.12,81.08,82.89,664338,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-02
82.89,82.95,81.25,81.4,827032,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-03
81.5,82.71,81.3,82.41,1237523,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-04
81.79,83.38,81.6,82.58,583916,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-07
82.03,82.82,81.58,81.82,695937,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-08
81.83,82.32,80.57,81.33,1141310,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-09
81.49,81.83,80.55,80.74,901591,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-10
80.58,81.13,79.69,79.72,886003,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-11
80.62,81.18,78.9,79.14,1517431,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-14
79.45,80.48,78.75,80.03,1223821,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-15
80.38,80.8,78.61,78.65,774876,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-16
78.8,80.21,78.72,79.32,882431,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-17
79.24,79.74,78.21,78.65,1414387,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-18
78.0,78.46,76.4,77.29,834794,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-21
77.14,78.17,76.15,77.78,899349,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-22
78.39,79.37,77.35,77.4,643306,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-23
77.42,78.06,76.72,77.87,239259,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-24
78.18,79.21,77.84,78.43,394424,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-28
78.43,79.35,78.43,79.07,647030,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-29
78.85,79.61,78.51,79.11,569096,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-30
79.05,80.03,78.84,79.95,543749,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2020-12-31
80.0,80.75,78.7,79.09,970412,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-04
79.09,79.32,77.33,77.73,1027016,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-05
78.08,80.64,78.0,80.48,860410,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-06
80.48,80.52,77.57,77.94,823952,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-07
77.97,78.09,76.96,77.77,520291,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-08
77.41,78.11,76.18,76.69,645817,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-11
76.75,77.22,75.85,76.42,1093499,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-12
76.46,78.13,76.19,77.93,855329,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-13
78.1,78.21,76.91,77.05,595937,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-14
76.94,78.75,76.15,78.55,837440,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-15
78.71,78.8,77.65,78.0,1144116,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-19
77.59,78.15,76.77,77.94,1198334,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-20
77.73,77.9,76.37,77.53,965485,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-21
77.24,77.5,76.46,77.09,512403,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-22
76.69,78.46,76.62,78.36,868576,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-25
78.48,78.69,77.02,77.5,786708,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-26
76.88,77.38,75.05,76.31,1176435,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-27
76.64,77.89,76.17,76.68,1070555,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-28
75.24,76.06,74.73,75.25,1771341,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-01-29
75.58,76.74,75.05,76.2,791326,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-01
76.48,78.25,76.19,76.7,932096,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-02
76.4,77.19,75.91,76.73,626889,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-03
76.62,77.27,76.25,77.06,781767,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-04
77.61,78.04,76.86,77.78,734382,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-05
77.81,77.94,76.3,76.94,816071,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-08
77.06,77.92,76.03,76.66,519315,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-09
77.0,77.5,76.41,77.12,650785,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-10
77.23,77.43,76.32,76.66,529614,0.0,0.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,2021-02-11
