Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
67.63,67.77,65.43,66.42,1675109,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-10-26
66.01,66.02,63.44,63.46,2092688,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-10-27
62.12,63.15,61.22,61.67,2609496,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-10-28
61.2,63.54,60.39,63.04,1948342,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-10-29
62.56,64.08,62.16,64.02,2640318,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-10-30
65.19,66.3,64.19,65.93,2102769,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-02
67.33,68.79,67.18,67.78,2853950,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-03
67.38,68.14,63.08,63.09,4597141,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-04
63.56,66.49,63.56,65.37,3069783,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-05
65.84,66.3,63.05,63.55,2654263,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-06
69.25,74.62,69.1,73.45,6537899,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-09
73.75,76.18,73.08,75.45,4650787,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-10
75.67,75.67,72.06,73.02,3121267,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-11
71.53,72.19,69.93,71.02,2445687,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-12
71.5,73.52,71.5,73.13,1775467,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-13
75.8,75.92,74.45,75.58,2148361,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-16
74.57,75.82,73.78,75.42,1648390,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-17
75.71,77.56,75.41,75.77,2351067,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-18
74.97,76.14,73.7,75.79,1971751,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-19
75.4,76.15,74.71,75.65,2542043,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-20
75.37,77.23,75.24,76.84,2235275,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-23
78.48,80.01,77.7,79.85,2760969,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-24
78.87,78.87,77.95,78.73,1595325,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-25
78.63,79.16,77.64,78.09,892424,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-27
77.25,77.99,75.34,75.62,3340466,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-11-30
77.77,78.03,76.88,77.11,1971884,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-01
76.48,78.92,76.48,78.68,1841731,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-02
78.61,79.68,78.24,78.87,2205770,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-03
79.85,81.52,79.68,81.29,2044411,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-04
80.53,80.61,79.27,79.98,2070481,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-07
79.27,80.59,79.19,80.25,1544842,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-08
81.35,81.64,79.72,80.23,1636653,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-09
79.03,80.17,78.87,79.96,1773006,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-10
78.47,79.36,77.98,78.58,1531782,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-11
80.0,80.03,76.54,76.61,2066236,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-14
77.66,78.09,76.15,77.81,1598978,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-15
77.85,78.47,77.27,78.0,1492955,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-16
78.45,78.62,76.66,77.66,2022061,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-17
77.66,77.98,75.75,76.51,5071463,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-18
76.11,76.37,74.58,76.2,1894805,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-21
76.36,76.46,74.99,75.0,1861655,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-22
75.96,77.3,75.96,76.79,2486102,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-23
76.8,77.02,75.87,76.74,612011,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-24
77.16,78.62,76.7,76.91,1564135,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-28
77.21,77.58,76.14,76.34,1266978,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-29
76.55,77.68,76.44,77.45,1411361,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-30
77.31,78.23,76.91,78.07,1230462,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2020-12-31
78.4,78.4,75.71,76.4,2661474,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-04
76.28,77.96,76.04,77.14,1599749,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-05
79.1,82.84,78.94,81.71,3334496,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-06
82.62,82.94,81.23,81.35,2413507,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-07
81.46,81.6,79.32,80.7,1628659,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-08
79.68,81.18,79.22,80.78,1239473,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-11
81.38,82.79,81.05,82.29,1584635,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-12
81.86,82.47,81.2,82.24,1391865,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-13
82.65,84.56,82.33,83.91,1748076,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-14
83.57,84.03,82.17,83.61,2436230,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-15
84.16,85.64,83.64,84.86,1941362,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-19
84.77,84.85,83.61,84.01,1526419,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-20
83.82,84.36,82.82,82.86,1380157,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-21
82.0,82.88,81.45,82.62,1407266,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-22
81.42,82.22,80.59,81.96,2022811,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-25
82.37,82.58,81.1,81.22,1663682,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-26
80.0,80.21,78.96,79.24,3207907,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-27
80.1,82.23,79.92,81.19,2185481,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-28
80.66,80.92,77.72,78.28,3662269,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-01-29
78.86,79.1,77.27,78.91,1629878,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-02-01
80.0,81.21,79.4,80.16,1911974,0.0,0.0,PRU,Prudential Financial,Financials,Life & Health Insurance,2021-02-02
