Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
11.64,12.79,10.57,11.74,43107823,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-07
11.42,11.86,10.38,10.51,39967393,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-08
10.62,10.66,9.95,10.12,51349476,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-11
10.23,11.3,10.14,10.97,30407016,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-12
11.2,17.53,11.15,15.0,133664935,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-13
14.9,14.94,13.67,14.38,26039942,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-14
14.38,14.6,13.66,13.72,16703490,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-15
13.72,13.9,13.22,13.5,11959412,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-18
13.51,13.67,12.96,13.48,11058856,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-19
13.5,14.06,13.32,13.98,9088528,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-20
13.95,16.3,13.95,16.03,46431453,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-21
15.57,16.64,15.25,16.0,14871578,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-22
15.91,16.4,15.75,15.96,8131635,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-25
15.71,15.9,15.15,15.84,14226843,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-26
15.71,15.71,14.63,14.81,12166097,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-27
14.77,15.03,14.42,14.69,5585042,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-28
14.62,14.78,14.38,14.7,4862759,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-08-29
14.54,14.66,14.19,14.46,5127161,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-02
14.44,15.31,14.39,15.06,8362669,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-03
14.92,15.04,14.41,14.74,5291765,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-04
14.48,15.18,14.48,15.0,7422232,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-05
15.07,15.24,14.74,15.19,6514822,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-08
14.95,15.47,14.72,15.2,6071125,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-09
15.3,15.79,14.83,15.11,6164326,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-10
15.02,17.58,13.99,17.46,48508775,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-11
17.46,18.87,16.9,18.79,32421303,0.0,0.0,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2025-09-12
