Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
49.64,49.65,47.9,48.14,3255900,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-10-26
48.0,48.37,47.02,47.07,3565299,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-10-27
45.73,46.5,44.14,44.22,4976480,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-10-28
43.62,46.18,43.27,45.98,4503366,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-10-29
45.38,46.74,44.91,46.66,4625394,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-10-30
47.38,48.48,46.51,47.96,3793047,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-02
48.62,49.04,46.85,47.52,3335925,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-03
47.66,49.25,46.61,47.92,3746907,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-04
47.71,48.9,47.43,48.19,3262213,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-05
48.11,48.89,46.18,46.68,3647806,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-06
52.42,58.23,52.3,57.03,9167343,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-09
58.69,58.78,55.7,58.14,5274094,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-10
58.9,58.99,57.68,58.98,4637909,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-11
57.68,58.53,54.6,54.85,5125667,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-12
55.57,59.5,55.5,58.76,5693362,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-13
61.19,63.14,59.1,62.62,6180668,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-16
61.25,64.43,60.25,64.34,5433365,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-17
64.76,64.85,60.72,60.75,4195845,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-18
60.0,61.82,59.53,61.45,2728874,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-19
61.3,62.49,61.01,61.59,2719545,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-20
62.72,65.92,62.6,65.84,4557535,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-23
68.15,68.71,66.6,67.72,4300861,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-24
66.88,67.23,65.77,66.26,3806063,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-25
65.62,66.25,64.69,65.23,1936013,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-27
64.26,64.5,60.3,60.58,6475947,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-11-30
62.78,64.18,61.53,61.88,4122903,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-01
61.2,65.28,61.04,64.43,4463502,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-02
64.75,66.9,63.84,65.02,2769619,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-03
66.74,69.92,66.52,69.32,4493984,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-04
68.32,68.81,66.32,67.05,3096884,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-07
66.06,69.08,66.06,67.39,3092524,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-08
68.46,70.1,66.98,68.77,3645912,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-09
68.15,71.7,68.15,70.86,3395053,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-10
70.2,70.42,68.45,69.51,2612280,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-11
69.71,70.55,66.86,67.19,2912336,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-14
67.16,68.69,66.25,68.25,3150053,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-15
68.45,68.5,66.92,67.29,3483309,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-16
67.86,67.87,66.4,67.17,3253115,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-17
67.09,67.52,66.06,66.85,9031394,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-18
64.76,67.26,63.8,66.49,3568492,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-21
66.52,68.18,66.15,67.51,3615951,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-22
68.38,69.97,68.01,69.36,3039701,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-23
69.19,69.28,68.04,68.73,1295243,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-24
69.44,70.93,69.04,69.33,2492341,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-28
69.45,69.87,67.78,68.38,3890887,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-29
68.59,70.91,68.49,70.6,2938419,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-30
70.5,70.74,69.76,69.94,2027904,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2020-12-31
70.61,71.29,68.56,69.88,2746485,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-04
70.0,73.78,70.0,71.75,3941989,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-05
73.01,73.42,70.34,71.22,5152250,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-06
71.5,73.31,70.78,71.86,2609492,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-07
72.51,72.6,70.34,70.71,2714069,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-08
69.0,72.8,68.73,72.27,4995549,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-11
72.72,74.07,71.64,73.74,2696111,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-12
73.5,73.7,71.53,71.77,2553103,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-13
72.03,74.95,72.0,74.14,3052135,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-14
73.15,73.46,70.93,71.74,3584212,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-15
72.72,75.17,72.08,74.78,3010225,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-19
75.4,75.96,73.94,75.39,2624613,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-20
74.56,75.41,72.63,73.16,2739344,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-21
71.7,73.09,71.15,72.55,2609457,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-22
72.0,73.2,71.03,72.08,3052467,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-25
72.85,74.08,71.26,71.31,2101725,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-26
70.22,73.18,69.7,71.2,3135637,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-27
71.7,72.62,70.56,71.45,2696945,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-28
69.3,71.4,67.39,67.8,5782254,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-01-29
68.34,68.45,65.38,67.38,3026428,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-01
69.16,70.15,67.61,68.66,2366598,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-02
68.66,71.39,68.66,71.29,2627912,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-03
71.56,72.6,70.74,71.93,2024960,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-04
73.15,73.51,71.35,72.04,2506572,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-05
72.8,76.14,72.55,75.79,2710156,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-08
75.45,75.56,73.84,74.53,2683158,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-09
74.8,76.78,74.45,76.72,2259412,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-10
76.4,77.26,74.85,77.24,2346623,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-11
77.06,77.79,76.24,77.23,1987928,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-12
78.89,80.6,78.1,79.39,2830222,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-16
80.0,80.91,78.23,80.64,2192195,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-17
80.17,80.59,78.91,80.05,2110706,0.0,0.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2021-02-18
