Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
88.08,88.6,82.4,83.67,1262464,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-10-26
84.25,85.99,83.72,84.26,720432,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-10-27
82.26,87.68,79.36,82.47,1636208,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-10-28
80.0,87.55,79.5,85.87,2007991,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-10-29
83.25,85.28,82.04,83.88,1061677,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-10-30
84.6,87.18,84.02,86.88,761633,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-02
87.63,92.74,86.49,92.16,1104272,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-03
92.0,93.28,89.68,92.36,1004466,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-04
93.32,94.69,93.22,93.94,719865,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-05
94.0,95.64,92.74,94.84,478113,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-06
96.66,97.28,92.73,92.91,926898,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-09
92.69,94.46,89.98,94.24,764427,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-10
95.0,96.67,94.59,95.31,680665,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-11
95.38,96.96,94.14,94.68,516892,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-12
94.91,97.57,94.45,97.21,453302,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-13
96.59,99.23,95.6,98.52,697085,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-16
97.06,99.87,97.06,99.13,883039,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-17
98.98,99.95,97.77,98.33,681092,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-18
97.92,100.34,97.34,100.21,613847,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-19
100.0,102.03,99.35,101.14,466678,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-20
102.08,103.7,101.0,103.19,475666,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-23
104.0,104.12,102.21,103.91,626939,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-24
104.25,106.3,103.62,105.96,645336,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-25
106.12,108.8,106.04,108.61,387145,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-27
109.51,110.62,107.57,107.85,914335,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-11-30
108.27,108.93,106.95,108.53,730131,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-01
107.59,107.74,106.35,107.26,597532,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-02
107.06,109.32,107.01,107.98,462640,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-03
108.45,110.09,108.45,109.6,596879,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-04
110.26,111.5,109.1,111.15,410030,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-07
111.64,112.04,111.0,111.3,321065,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-08
113.24,114.03,110.78,111.57,723577,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-09
111.13,113.04,110.0,112.66,535148,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-10
111.9,113.68,111.78,112.98,706090,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-11
113.2,116.23,112.94,113.83,746012,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-14
114.3,115.5,113.01,114.05,649312,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-15
115.42,116.79,114.19,115.07,989973,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-16
116.0,118.52,115.65,118.47,835874,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-17
119.37,119.97,117.39,118.39,1858581,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-18
116.74,120.37,115.85,120.14,730441,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-21
120.49,121.55,119.58,120.02,439212,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-22
119.98,121.24,118.87,119.17,392551,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-23
119.82,120.18,119.04,119.85,189409,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-24
121.36,121.75,118.0,118.81,392789,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-28
118.8,118.94,116.98,117.77,293448,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-29
118.76,120.16,118.3,119.51,283281,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-30
119.6,120.26,118.71,119.61,377783,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2020-12-31
120.07,120.64,116.02,118.18,710615,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-04
118.06,119.87,117.36,118.51,490316,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-05
118.03,121.12,117.02,119.0,1352024,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-06
119.76,125.53,119.76,125.45,706122,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-07
125.82,129.26,125.82,127.94,1010310,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-08
126.27,129.87,126.26,129.16,945989,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-11
130.11,130.95,128.0,128.5,519538,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-12
128.93,128.95,124.48,124.51,613455,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-13
124.16,124.85,123.53,124.6,475888,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-14
124.73,125.11,122.72,124.12,416096,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-15
125.32,126.64,124.01,125.55,795160,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-19
127.0,130.53,126.28,130.39,935145,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-20
131.64,132.33,128.46,129.56,746677,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-21
129.48,131.27,128.01,130.88,540885,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-22
132.37,132.83,127.78,130.88,633237,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-25
131.19,131.95,128.34,129.52,698737,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-26
127.0,128.44,120.83,120.83,1065029,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-27
133.9,141.67,131.0,138.33,3847704,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-28
137.67,137.67,131.97,132.91,918029,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-01-29
133.8,138.89,132.93,137.0,880621,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-01
138.0,140.49,137.05,138.01,760967,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-02
138.0,139.93,137.0,138.13,579250,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-03
139.1,141.13,138.18,139.29,544133,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-04
140.01,142.92,140.01,142.73,739144,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-05
144.43,144.83,141.89,142.92,617925,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-08
143.74,144.9,142.96,144.05,569621,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-09
144.67,146.63,143.64,144.73,554003,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-10
145.28,145.79,142.77,143.65,672561,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-11
143.5,143.93,142.08,142.72,566130,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-12
143.35,146.43,143.0,146.13,701146,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-16
144.95,144.95,142.26,144.19,459100,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-17
142.37,144.61,139.38,143.21,503015,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-18
144.36,147.67,143.96,146.73,467905,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-19
144.44,145.73,142.64,142.95,473882,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-22
139.04,140.68,134.54,140.13,761812,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-23
139.26,143.16,137.27,142.33,831302,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-24
140.68,141.6,133.56,134.48,620898,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-25
135.19,138.32,134.12,136.94,1150988,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-02-26
139.56,142.58,139.04,142.21,656128,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-01
143.12,143.49,136.41,136.51,843704,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-02
135.94,137.49,131.64,132.34,607937,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-03
131.42,133.15,124.87,126.43,826974,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-04
127.24,127.31,117.98,125.51,1154529,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-05
124.97,126.87,118.8,118.85,769295,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-08
122.33,128.84,122.0,127.55,705971,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-09
129.3,132.1,128.69,130.99,782434,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-10
134.37,137.67,134.04,135.84,1086542,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-11
135.35,135.35,131.07,132.19,476582,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-12
132.82,137.25,132.55,137.09,612578,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-15
139.12,139.26,134.4,135.56,415240,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-16
134.76,135.98,129.82,132.23,961236,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-17
129.01,131.09,125.73,127.03,1045996,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-18
128.54,130.5,126.51,129.66,1183652,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-19
130.15,132.38,130.06,130.14,472261,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-22
130.51,133.41,129.29,129.81,607264,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-23
130.87,130.87,126.7,126.84,549886,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-24
125.52,128.45,122.97,128.0,617414,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-25
128.42,135.6,128.42,135.43,905707,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-26
134.73,135.91,131.43,131.7,926657,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-29
130.68,133.77,130.11,132.0,407030,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-30
133.33,139.84,133.33,137.65,923470,0.0,0.0,PTC,PTC Inc.,Information Technology,Application Software,2021-03-31
