Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
62.22,62.27,55.81,58.26,12257137,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-26
58.09,59.41,57.28,57.38,5347552,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-27
55.13,55.61,53.06,53.12,9307758,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-28
53.02,54.37,51.33,53.83,9022544,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-29
52.97,57.8,51.37,56.42,17127808,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-30
55.0,57.1,53.85,57.02,7422208,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-02
56.9,58.65,56.34,57.57,4884146,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-03
57.21,58.61,56.4,56.98,3537061,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-04
57.77,60.32,57.63,60.17,4556237,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-05
59.81,59.98,58.2,58.57,4284942,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-06
73.27,78.86,71.24,75.43,28506402,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-09
74.03,74.63,71.36,73.73,11720619,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-10
73.81,73.92,69.7,70.88,10470352,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-11
68.07,71.12,67.67,68.1,7090780,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-12
69.35,71.13,68.65,70.61,4623039,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-13
75.79,77.23,74.02,75.5,12439957,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-16
74.6,76.74,73.74,75.34,6004224,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-17
74.11,76.49,74.05,74.13,5916461,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-18
73.85,75.05,73.22,74.44,3605576,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-19
74.72,75.14,72.53,72.58,4643369,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-20
73.56,76.45,73.56,75.78,5056376,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-23
79.13,82.59,78.34,81.63,8250087,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-24
80.45,81.63,79.47,80.08,5180219,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-25
80.58,82.15,80.43,81.48,2189907,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-27
82.0,82.0,77.7,78.81,5897390,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-30
80.0,80.68,78.15,78.29,3577223,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-01
77.36,81.37,75.97,80.64,3890174,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-02
81.24,85.1,81.02,84.4,5990078,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-03
83.0,83.75,80.43,82.73,8713002,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-04
82.25,82.44,80.3,81.62,5639660,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-07
80.67,83.85,80.51,82.83,4414372,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-08
83.91,84.97,80.87,82.37,6894888,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-09
80.75,82.62,80.35,80.64,4574127,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-10
80.99,81.46,76.26,76.46,6222432,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-11
78.81,79.43,73.95,74.06,6365797,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-14
74.65,74.71,70.75,74.05,7321343,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-15
74.06,74.64,72.35,73.65,3622919,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-16
74.02,74.48,72.61,73.94,3373438,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-17
73.74,74.49,71.58,72.29,5178831,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-18
69.01,72.24,68.75,71.82,5175829,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-21
71.82,71.88,68.57,69.69,4611436,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-22
70.15,72.87,70.11,71.42,3815882,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-23
71.75,71.85,70.07,70.66,1712418,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-24
71.9,73.99,71.2,72.89,4006005,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-28
74.06,74.4,70.86,71.6,3523323,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-29
71.6,74.07,71.19,73.75,4451029,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-30
73.5,75.75,71.2,74.69,6302385,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-31
74.8,75.24,69.89,70.72,5795802,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-04
70.5,73.27,70.42,72.55,4081755,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-05
72.7,74.07,71.14,72.2,3650588,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-06
72.64,75.44,72.64,73.98,4041675,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-07
74.91,75.49,71.96,72.97,3162449,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-08
71.3,73.1,70.85,72.12,2785113,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-11
72.14,72.71,70.81,72.47,2810163,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-12
71.78,72.51,70.77,72.25,2815383,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-13
73.59,76.53,73.37,75.84,5292945,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-14
75.04,76.29,72.87,72.92,3235199,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-15
74.0,74.67,72.46,73.48,2571661,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-19
74.04,75.16,72.27,72.82,2462623,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-20
72.5,73.51,71.02,72.66,3124655,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-21
71.67,72.28,70.66,71.96,2635858,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-22
70.73,70.86,66.91,68.42,7770384,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-25
69.0,69.09,66.48,66.5,4810175,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-26
65.43,68.53,64.34,66.18,4647753,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-27
69.28,70.58,67.45,69.05,5196429,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-28
68.65,69.33,64.26,65.0,5973664,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-29
65.95,66.55,64.66,65.75,3613821,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-01
67.17,68.91,65.84,68.68,3899550,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-02
69.0,70.03,68.31,69.42,2941610,0.0,0.0,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-03
