Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
424.63,426.82,414.02,417.89,475834,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-26
405.0,405.74,390.0,394.6,1423993,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-27
387.75,388.98,365.5,367.5,1522468,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-28
366.57,375.96,366.57,370.81,945546,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-29
369.36,373.33,362.9,371.34,493886,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-10-30
377.72,381.92,375.53,380.94,760393,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-02
385.73,390.68,380.55,383.35,628627,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-03
386.87,397.55,381.27,388.75,739278,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-04
398.41,398.41,385.62,386.0,700333,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-05
385.24,391.6,384.16,388.42,658112,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-06
410.91,417.25,389.84,390.21,1074096,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-09
390.25,401.37,390.25,400.98,682988,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-10
403.88,406.83,399.45,401.35,551099,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-11
399.66,402.18,386.19,390.65,590844,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-12
393.3,397.68,390.1,396.39,555551,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-13
399.0,409.01,396.42,407.87,592336,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-16
402.93,410.79,401.3,405.65,590627,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-17
405.27,410.39,400.44,408.37,594284,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-18
407.0,411.12,406.27,409.48,451296,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-19
409.89,411.0,403.54,405.26,698541,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-20
408.83,409.83,403.42,405.72,470579,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-23
409.89,419.85,405.93,418.53,490269,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-24
420.15,421.47,416.92,418.47,279526,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-25
420.45,421.21,416.29,418.8,257522,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-27
418.0,427.4,418.0,427.0,709786,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-11-30
429.67,433.09,422.21,424.0,571274,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-01
423.82,423.82,415.91,418.01,356077,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-02
416.21,418.86,408.14,409.21,615081,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-03
409.82,417.95,409.82,417.95,534944,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-04
418.37,421.19,413.44,418.98,374875,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-07
416.23,423.14,416.23,419.14,362173,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-08
418.8,421.31,413.86,419.54,395350,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-09
420.09,420.09,412.31,415.0,445088,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-10
412.83,421.22,412.83,420.45,339909,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-11
422.59,433.02,422.59,422.89,465613,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-14
424.76,431.43,423.95,425.96,479521,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-15
425.1,427.3,420.48,420.85,369866,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-16
422.0,425.34,420.6,425.04,491342,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-17
425.45,430.84,421.89,426.19,1119203,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-18
419.25,422.74,410.36,422.38,553701,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-21
418.42,419.08,410.98,412.92,569857,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-22
416.42,424.0,415.66,419.46,483473,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-23
419.84,423.67,416.28,420.12,119734,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-24
422.52,424.31,416.45,423.15,290926,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-28
426.7,427.39,416.64,419.6,273679,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-29
420.66,423.5,420.41,421.82,192267,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-30
422.52,431.95,420.14,431.09,333038,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2020-12-31
429.92,430.98,414.71,419.55,443800,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-04
419.98,424.13,414.14,419.18,520872,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-05
418.53,426.8,418.04,423.4,717207,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-06
423.46,432.09,422.78,430.58,447363,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-07
431.6,432.93,426.13,431.1,316055,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-08
426.82,438.79,425.8,438.53,701595,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-11
437.39,439.58,427.67,429.99,547211,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-12
429.13,429.13,412.75,413.15,713803,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-13
414.03,414.77,405.66,407.41,687875,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-14
406.49,414.37,402.22,411.62,1062364,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-15
416.0,421.18,412.28,414.43,509369,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-19
417.75,423.52,415.27,420.52,427393,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-20
420.75,423.86,418.57,421.41,371843,0.0,0.0,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,2021-01-21
