Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
92.26,92.77,90.36,90.86,739411,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-10-26
90.8,90.86,89.39,89.42,884418,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-10-27
88.27,88.65,86.28,86.71,1255109,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-10-28
86.75,88.32,86.18,87.4,1296314,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-10-29
87.2,88.55,87.08,88.17,1531069,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-10-30
88.99,90.43,88.88,89.86,1123920,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-02
91.23,92.83,90.92,92.4,2009541,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-03
92.78,95.87,92.78,93.87,1683058,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-04
96.0,96.67,94.98,95.51,1833386,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-05
97.13,99.29,96.25,97.08,1701912,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-06
100.91,103.79,100.4,100.41,2144157,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-09
100.77,102.52,100.21,102.08,1451990,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-10
102.41,102.92,101.8,102.57,996117,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-11
102.08,102.53,100.26,100.94,1006367,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-12
101.6,102.0,100.17,101.06,730956,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-13
101.66,102.35,100.83,101.75,881325,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-16
101.27,101.93,100.41,101.26,1112086,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-17
101.4,101.84,99.93,99.98,1446775,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-18
99.57,100.09,98.57,99.91,1149071,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-19
99.97,100.19,98.63,98.86,1179125,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-20
98.95,99.37,97.51,97.78,1068720,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-23
98.29,98.71,97.46,97.78,1274924,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-24
97.98,97.98,96.89,97.44,1208603,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-25
97.44,97.8,96.5,97.04,598262,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-27
96.67,97.06,96.02,96.72,3339260,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-11-30
97.58,98.41,96.9,97.15,1707804,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-01
96.72,97.23,94.82,95.75,1944714,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-02
95.87,96.36,94.66,94.75,2057597,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-03
94.7,95.69,94.63,95.67,2279006,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-04
95.5,95.7,94.62,94.85,1274401,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-07
94.31,94.94,94.24,94.68,1319112,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-08
95.01,95.11,93.91,94.32,1716061,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-09
94.31,94.57,93.29,93.49,1099397,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-10
93.29,95.19,93.29,94.98,2187351,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-11
95.21,95.93,94.87,94.9,1784223,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-14
95.45,96.52,95.31,96.2,1799074,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-15
96.43,96.7,95.38,95.4,1807767,0.0,0.0,RSG,Republic Services,Industrials,Environmental & Facilities Services,2020-12-16
