Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
115.65,116.74,113.17,114.21,553006,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-16
114.43,115.45,113.39,115.28,955190,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-17
115.37,116.93,114.78,116.84,822542,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-18
117.61,119.68,116.92,119.09,799591,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-19
118.82,121.02,118.04,120.24,575127,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-22
120.53,122.22,118.49,120.3,1163945,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-23
118.84,118.9,116.35,117.16,753266,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-24
116.98,117.86,115.43,116.45,1201393,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-25
117.4,118.36,116.41,116.67,931068,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-26
116.85,118.05,116.85,117.85,6203,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-30
115.17,116.07,113.22,115.32,841487,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-05-31
116.12,116.73,115.0,115.67,616052,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-06-01
116.11,116.48,114.08,115.22,660726,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-06-02
114.89,115.84,113.74,114.46,888550,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-06-05
114.67,115.91,113.99,114.44,508838,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-06-06
114.95,115.34,113.48,114.86,721796,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-06-07
114.66,114.77,111.43,111.45,619408,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2023-06-08
