Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
300.87,305.42,299.11,303.33,435603,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-10-26
303.44,306.2,299.77,301.83,448475,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-10-27
298.72,302.36,294.69,295.42,648649,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-10-28
295.59,299.94,293.64,295.02,591036,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-10-29
292.83,295.34,286.49,290.37,518259,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-10-30
295.6,296.95,288.37,293.52,548723,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-02
297.0,298.04,288.08,291.01,1102480,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-03
293.17,307.26,292.56,302.02,545153,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-04
303.27,306.99,302.1,305.82,437053,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-05
308.28,308.68,302.02,306.62,503851,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-06
309.59,312.13,296.45,297.47,940358,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-09
297.54,297.54,286.42,290.64,793350,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-10
293.28,305.24,290.97,298.59,767346,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-11
298.97,304.95,293.73,296.97,547365,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-12
298.77,304.82,297.27,304.0,408473,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-13
303.59,307.07,294.79,295.41,571044,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-16
294.5,301.14,294.18,298.78,418499,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-17
296.9,302.75,295.45,298.52,503547,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-18
297.58,300.38,293.48,297.76,460015,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-19
298.82,298.82,289.09,290.1,662535,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-20
290.18,291.07,285.52,286.27,608101,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-23
286.27,290.0,279.0,279.89,1184074,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-24
281.17,285.26,280.03,282.61,986629,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-25
289.99,289.99,283.91,285.73,400789,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-27
285.59,287.41,282.65,287.18,1163964,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-11-30
289.14,289.64,285.81,288.78,913025,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-01
287.69,289.46,281.22,284.48,571297,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-02
284.64,287.9,283.06,286.4,526323,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-03
286.72,289.31,284.21,286.45,447516,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-04
283.71,289.68,281.93,283.79,560275,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-07
282.79,284.37,278.35,280.85,483959,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-08
278.92,280.02,274.57,275.88,648557,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-09
276.09,278.85,274.08,275.6,594147,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-10
276.02,276.59,272.36,275.62,653349,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-11
277.68,279.49,273.62,274.17,588199,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-14
276.11,277.16,273.96,276.29,495888,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-15
277.96,279.46,274.96,275.76,586570,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-16
276.8,283.16,276.76,282.04,694385,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-17
283.17,283.24,275.36,276.93,1621364,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-18
273.55,278.5,273.55,274.92,566585,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-21
272.13,276.23,272.01,275.92,510335,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-22
276.02,279.44,272.46,272.98,527834,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-23
272.54,275.49,272.54,275.02,182839,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-24
275.76,276.55,273.0,276.25,450652,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-28
278.7,279.68,275.76,276.0,443516,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-29
276.99,278.31,273.05,274.56,365199,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-30
275.36,282.36,273.9,282.13,709459,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2020-12-31
283.1,284.45,274.69,275.63,867959,0.0,0.0,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,2021-01-04
