Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
90.03,91.13,88.65,89.66,7715913,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-10-26
89.48,90.34,89.17,90.05,8027508,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-10-27
88.65,88.95,86.61,87.17,12738752,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-10-28
87.17,89.11,86.61,88.3,8440044,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-10-29
87.75,88.39,85.63,86.96,11360795,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-10-30
87.54,87.76,85.45,85.97,8904850,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-02
86.78,89.06,86.18,88.39,6910439,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-03
88.9,91.28,88.74,89.79,10509388,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-04
90.69,91.16,89.9,90.62,6169717,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-05
90.15,91.2,89.78,90.65,6626107,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-06
97.32,97.65,95.64,95.88,16225770,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-09
93.74,95.27,93.14,93.92,10474695,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-10
94.11,95.83,94.02,95.04,8296547,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-11
94.66,94.76,92.66,93.53,7061844,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-12
94.38,95.59,93.7,95.56,5518003,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-13
96.79,97.81,96.02,97.78,9367636,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-16
97.21,98.78,96.8,98.6,8722293,0.0,0.0,SBUX,Starbucks,Consumer Discretionary,Restaurants,2020-11-17
