Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
60.27,60.84,59.82,60.61,3992110,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-10-26
60.77,61.1,60.21,60.21,3528380,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-10-27
59.5,60.05,58.18,58.36,4294521,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-10-28
57.93,59.22,57.0,58.21,3809009,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-10-29
58.18,58.59,56.92,57.45,4183003,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-10-30
58.02,59.25,57.78,59.01,3706896,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-02
59.63,60.62,59.52,59.86,3154577,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-03
59.52,60.96,59.3,59.76,4146415,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-04
59.93,61.38,59.93,60.17,2833017,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-05
60.27,60.79,59.63,59.96,2999406,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-06
62.19,64.48,61.5,62.32,6482584,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-09
62.62,64.67,62.53,64.17,5561141,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-10
64.24,64.58,63.73,63.92,3498134,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-11
63.55,64.51,62.97,63.52,4222835,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-12
63.0,64.15,62.95,63.9,3693650,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-13
64.8,64.93,63.69,64.12,4102953,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-16
63.65,63.79,62.24,62.36,3819484,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-17
62.72,63.08,61.72,61.78,4035438,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-18
61.73,61.73,60.42,61.07,3443913,0.0,0.0,SO,Southern Company,Utilities,Electric Utilities,2020-11-19
