Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
50.45,50.82,48.6,48.96,4051725,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-26
49.07,49.15,48.46,48.56,3541262,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-27
48.0,48.3,47.1,47.74,3618697,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-28
47.7,47.88,46.92,47.66,3619706,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-29
47.33,47.87,47.1,47.82,3416498,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-30
48.48,48.79,47.95,48.57,2765483,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-02
49.19,50.64,48.9,50.35,2764516,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-03
50.64,51.31,50.25,50.47,3435519,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-04
50.75,52.95,50.6,52.75,3147455,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-05
52.61,53.79,52.0,53.49,2880773,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-06
54.9,55.58,54.11,54.15,4141107,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-09
54.1,55.21,54.1,54.72,3698307,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-10
55.0,55.22,54.27,54.63,2669091,0.0,0.0,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-11
