Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
47.4,47.6,44.9,46.22,67456794,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-08
44.76,45.81,44.32,44.83,13739300,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-09
45.04,46.24,44.4,45.83,9427792,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-10
45.48,46.92,45.35,46.87,12526282,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-11
46.91,49.31,46.86,49.08,41461229,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-12
48.35,49.43,48.26,48.84,8170727,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-15
48.42,49.44,48.0,49.26,7455012,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-16
48.61,49.09,47.82,47.85,8435089,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-17
46.86,47.34,46.25,46.82,10475485,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-18
46.82,46.91,46.31,46.53,3633785,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-19
46.51,48.02,46.38,48.0,3955449,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-22
48.09,49.5,47.7,49.11,5854737,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-23
48.29,49.25,48.21,48.86,5061425,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-24
48.42,48.51,47.58,47.69,5094092,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-25
47.72,49.17,47.71,48.81,4084081,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-26
48.45,48.56,47.52,47.55,11100379,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-29
47.14,47.57,46.1,46.74,4676172,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-30
43.29,45.74,43.18,44.84,11198956,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-07-31
44.8,45.11,42.92,43.32,7035142,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-01
42.78,42.78,41.3,41.78,3582808,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-02
39.74,40.93,39.54,40.04,4282101,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-05
40.2,40.95,40.01,40.33,3621093,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-06
40.81,40.87,38.97,39.06,3048534,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-07
39.0,40.08,39.0,39.31,3649731,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-08
38.91,39.57,38.55,38.96,3452839,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-09
39.01,39.25,38.8,38.85,2991692,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-12
39.25,40.71,39.12,40.35,4026393,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-13
40.63,41.49,40.51,41.21,4175928,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-14
41.18,43.25,41.18,42.74,5062903,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-15
42.46,43.02,42.26,42.91,4801391,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-16
42.53,43.53,42.46,43.49,3677606,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-19
43.0,43.55,42.6,43.01,3761074,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-20
42.94,44.07,42.64,44.02,4669434,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-21
44.13,44.46,43.43,43.79,4514317,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-22
44.61,45.39,44.46,45.33,3891008,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-23
45.55,46.52,45.43,46.18,4700882,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-26
46.26,46.9,45.86,46.89,4821068,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-27
46.36,47.49,46.36,47.07,4958188,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-28
47.2,47.25,46.67,47.17,3098368,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-29
46.97,47.59,46.92,47.42,6225696,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-08-30
46.32,46.56,45.41,45.7,5512473,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-03
45.08,46.16,45.08,45.57,5056877,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-04
45.82,46.3,45.0,45.34,3258789,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-05
45.13,45.62,44.38,44.72,3739985,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-06
45.11,45.3,44.12,44.47,4549857,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-09
44.68,44.72,43.11,43.32,4092006,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-10
42.86,43.74,42.43,43.53,4936586,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-11
43.66,44.65,43.64,44.59,4026750,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-12
44.67,45.88,44.59,44.92,3634469,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-13
44.71,46.8,44.7,46.73,6043035,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-16
46.9,47.83,46.69,47.33,4550665,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-17
47.44,48.56,47.17,47.86,4135351,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-18
49.0,49.43,48.28,49.02,3846691,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-19
48.46,48.51,46.97,47.41,19056698,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-20
47.19,47.3,46.27,46.74,2890015,0.0,0.0,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2024-09-23
