Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
66.51,66.93,65.57,66.14,521796,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-10-26
66.39,67.18,66.23,66.55,537136,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-10-27
65.82,65.82,64.33,64.41,524120,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-10-28
64.42,64.42,63.0,63.92,702880,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-10-29
63.6,64.46,62.56,63.1,667620,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-10-30
63.8,65.41,63.52,65.0,539188,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-02
65.6,67.08,65.6,66.58,435016,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-03
68.08,69.28,66.01,66.79,873356,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-04
70.0,76.53,69.38,76.15,2033764,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-05
73.78,76.5,73.6,75.62,940048,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-06
77.5,79.22,75.87,76.05,914808,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-09
75.04,76.99,73.06,75.07,763596,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-10
75.76,77.08,75.76,76.61,658420,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-11
76.33,76.62,75.27,75.88,526896,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-12
76.5,76.8,75.52,75.71,353520,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-13
75.64,75.83,73.7,75.72,426796,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-16
75.46,77.08,74.81,76.93,636868,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-17
77.12,77.12,75.05,75.24,1244056,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-18
75.19,76.43,74.63,75.56,603532,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-19
75.39,76.63,74.5,76.22,633260,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-20
76.39,76.39,75.14,75.94,535992,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-23
76.48,76.48,74.77,75.7,557664,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-24
76.4,77.31,75.07,75.44,679492,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-25
75.62,76.07,74.0,74.41,283212,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-27
74.97,75.84,74.57,75.83,795900,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-11-30
76.49,77.25,76.04,76.24,831000,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-01
76.96,76.96,74.16,74.58,506920,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-02
74.54,75.08,74.21,74.74,492104,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-03
75.56,76.71,75.16,76.64,453864,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-04
76.92,77.9,76.54,76.98,317668,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-07
77.29,78.22,76.68,77.21,536804,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-08
77.46,77.46,75.0,75.41,439768,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-09
75.2,76.48,74.47,76.3,400184,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-10
76.44,77.39,75.42,76.24,293516,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-11
76.32,78.46,75.59,76.61,735776,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-14
77.07,77.68,76.03,77.04,497624,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-15
77.03,77.23,75.42,75.76,712104,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-16
76.3,77.54,75.78,77.44,736144,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-17
77.32,80.17,76.97,80.06,3626800,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-18
79.36,80.76,77.17,80.47,781936,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-21
80.83,81.09,79.66,80.14,481360,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-22
80.74,80.9,79.84,80.02,476648,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-23
80.24,80.78,79.72,80.4,119404,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-24
81.09,81.61,78.63,78.95,397396,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-28
79.47,79.59,77.85,78.73,305324,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-29
79.36,79.88,79.02,79.25,320184,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-30
79.37,79.88,78.65,79.39,307328,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2020-12-31
79.17,79.84,77.66,78.66,523004,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-01-04
78.72,80.19,77.85,79.25,609784,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-01-05
78.92,83.19,78.92,82.73,1153368,0.0,0.0,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-01-06
