Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
90.58,91.62,88.31,89.59,1258007,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-10-26
89.83,89.83,86.86,87.46,1474947,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-10-27
85.74,86.87,85.0,85.54,1185945,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-10-28
85.53,89.34,85.08,88.54,1615812,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-10-29
86.81,88.15,86.09,87.85,1581504,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-10-30
88.5,90.51,88.25,89.7,1842287,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-02
90.67,91.71,89.3,89.83,1082357,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-03
92.44,96.43,90.94,95.85,2561606,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-04
97.38,100.34,97.04,99.32,1918193,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-05
98.83,100.74,98.0,100.26,1506642,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-06
104.94,105.62,101.28,101.53,2214225,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-09
102.0,102.07,97.48,98.15,1975833,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-10
99.64,101.67,99.48,101.18,1683541,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-11
102.13,102.13,99.81,100.48,1274529,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-12
102.2,103.2,101.0,102.29,1062824,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-13
102.92,107.24,102.67,107.18,1763979,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-16
106.72,106.72,104.88,105.91,1258682,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-17
105.98,106.44,104.76,104.82,1186094,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-18
104.81,106.62,104.51,106.47,1048091,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-19
106.73,107.92,106.12,106.33,1376253,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-20
106.35,108.65,106.35,108.32,1192196,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-23
109.48,109.5,107.17,108.99,1665270,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-24
109.5,110.03,108.2,108.34,1373229,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-25
109.63,110.83,109.07,109.4,849186,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-27
109.94,110.64,108.04,110.34,1560799,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-11-30
111.26,115.94,111.2,115.12,2175237,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-01
114.5,114.95,112.85,113.96,1386257,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-02
115.01,117.22,113.58,113.74,1700221,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-03
114.83,116.28,114.0,116.03,1167709,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-04
116.55,117.32,114.77,117.16,1341628,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-07
116.91,118.96,116.54,118.67,1113758,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-08
118.06,118.22,113.15,114.02,1555322,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-09
114.01,116.14,112.28,115.68,1619675,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-10
114.43,116.13,112.95,115.37,1171308,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-11
116.62,118.21,115.83,117.18,1279504,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-14
117.99,120.76,117.5,120.44,1536177,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-15
119.45,120.84,118.59,119.77,1671901,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-16
121.0,122.37,118.96,119.35,1611591,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-17
119.34,121.09,118.83,120.59,2703561,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-18
117.83,120.16,117.67,119.73,1319431,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-21
119.73,120.12,118.15,118.57,1662091,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-22
119.07,119.29,117.2,117.26,928381,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-23
117.69,118.9,116.83,118.88,421407,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-24
120.08,120.22,117.43,117.73,735344,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-28
118.92,119.06,116.4,117.2,957391,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-29
118.25,120.72,118.01,120.29,793068,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-30
120.12,120.71,118.37,119.89,699841,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-12-31
121.88,123.44,118.1,119.19,1391678,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-04
118.55,121.52,118.38,121.49,1083167,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-05
120.69,124.85,120.21,122.41,1662507,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-06
124.37,130.74,124.26,129.91,2117935,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-07
132.86,133.48,130.44,132.15,1340849,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-08
131.99,136.45,130.52,135.7,2108872,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-11
136.38,139.52,136.05,137.09,1478903,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-12
136.56,137.34,135.35,136.02,1452787,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-13
138.21,139.55,136.68,138.39,1563213,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-14
138.0,138.58,134.77,137.3,1734043,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-15
139.23,141.57,139.03,140.63,1875119,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-19
143.28,143.4,137.89,138.61,1955937,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-20
140.78,141.41,138.75,140.24,1301649,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-21
139.35,140.41,137.33,137.95,1357306,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-22
140.48,141.79,137.66,140.11,1364172,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-25
140.7,141.05,138.07,138.1,1249839,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-26
135.4,135.51,129.4,130.11,2360411,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-27
123.71,124.0,119.61,119.94,4093529,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-28
119.72,119.72,113.04,113.48,4974757,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-01-29
116.5,117.92,114.0,117.55,3083048,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-01
121.5,121.79,118.61,121.61,4275955,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-02
123.46,124.01,120.01,120.57,2495586,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-03
122.18,125.62,120.95,125.52,1881965,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-04
127.23,128.15,124.81,126.12,1936247,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-05
127.97,129.64,126.5,129.09,1593983,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-08
128.23,129.66,126.71,128.27,2134107,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-09
129.57,131.48,127.28,128.71,1816177,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-10
129.09,135.4,129.09,135.04,1834579,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-11
135.39,143.78,135.04,142.41,2391536,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-12
145.78,147.9,142.78,143.64,2341536,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-16
141.07,141.71,134.53,139.3,2170420,0.0,0.0,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2021-02-17
