Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
59.49,59.49,57.06,57.46,2225838,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-10-26
57.74,58.88,57.65,57.67,1866714,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-10-27
57.06,57.55,56.61,56.76,2024788,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-10-28
56.72,58.0,56.27,57.24,2160570,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-10-29
56.85,57.25,56.37,57.23,2499092,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-10-30
57.85,58.36,57.11,57.63,1668162,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-02
58.04,58.35,56.48,56.49,2479667,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-03
56.38,57.5,55.82,56.54,2759683,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-04
56.99,58.55,56.86,57.71,1629565,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-05
57.81,58.47,56.91,57.33,1543700,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-06
60.81,62.07,59.52,60.35,3471655,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-09
61.27,61.27,60.35,60.46,2066882,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-10
61.0,61.4,60.76,61.11,2641829,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-11
61.14,61.69,60.1,60.83,3071740,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-12
61.04,62.53,61.04,62.35,1868877,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-13
63.85,65.02,62.06,64.74,4813196,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-16
63.49,64.61,62.86,63.78,2372190,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-17
63.93,64.8,63.45,63.45,1708222,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-18
62.72,63.0,60.84,62.34,3611439,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-19
61.95,62.24,60.52,60.74,2924116,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-20
61.0,63.45,60.86,63.13,2797550,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-23
64.11,64.83,63.42,64.8,2997889,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-24
64.82,66.06,64.25,64.99,3018921,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-25
65.15,65.56,64.5,65.0,1329287,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-27
64.55,65.2,64.05,65.2,5122417,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-11-30
65.48,67.19,65.39,66.76,3491215,0.0,0.0,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2020-12-01
