Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
403.35,404.95,395.47,398.94,198029,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-10-26
400.92,403.66,396.09,397.06,148465,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-10-27
393.52,393.52,384.03,386.31,212417,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-10-28
385.12,391.48,384.54,388.67,147798,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-10-29
385.99,387.37,377.4,384.38,211055,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-10-30
385.32,395.0,383.11,387.44,313228,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-02
390.23,397.3,390.23,395.26,189632,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-03
403.72,411.92,397.29,405.98,282385,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-04
415.0,428.85,408.56,409.9,594097,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-05
408.85,417.42,408.85,414.45,406477,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-06
416.75,429.91,409.27,420.42,383957,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-09
415.69,420.42,404.92,414.94,272201,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-10
419.11,426.53,418.49,422.91,218225,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-11
425.0,426.92,411.14,414.18,188622,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-12
417.54,418.3,411.12,416.15,125768,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-13
412.28,417.29,410.98,414.12,120692,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-16
413.06,415.8,410.2,413.67,153611,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-17
413.18,413.57,406.97,408.94,154090,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-18
408.11,416.31,405.2,414.38,115404,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-19
414.0,417.56,411.07,414.47,256144,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-20
415.99,418.22,411.97,413.52,121769,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-23
413.52,413.96,409.22,410.85,147664,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-24
413.39,415.83,409.72,414.89,147015,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-25
419.15,426.31,416.16,426.11,78532,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-27
424.66,428.18,421.17,427.6,250496,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-11-30
427.0,435.26,422.52,432.12,398157,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-12-01
428.29,429.68,414.36,418.17,244892,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-12-02
417.23,423.74,416.56,417.53,146739,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-12-03
416.92,425.14,415.96,420.44,143847,0.0,0.0,TYL,Tyler Technologies,Information Technology,Application Software,2020-12-04
