Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
186.53,186.93,182.0,184.7,4036788,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-10-26
184.48,184.69,178.07,179.57,4576726,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-10-27
175.79,178.22,173.06,173.37,4139690,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-10-28
172.83,177.66,171.5,176.04,6031627,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-10-29
175.29,177.39,173.13,177.19,3775876,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-10-30
179.72,181.69,176.9,179.24,3763183,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-02
181.5,186.96,180.82,185.38,4014275,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-03
189.62,191.73,186.4,186.74,4461910,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-04
189.62,193.9,189.3,192.07,4041209,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-05
191.25,191.81,189.04,190.07,2029502,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-06
200.0,207.78,196.33,198.0,4590882,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-09
198.86,203.5,197.95,201.26,4312973,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-10
201.58,201.95,197.74,200.0,3180068,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-11
199.53,201.29,197.75,200.49,2948788,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-12
202.15,204.52,201.09,203.44,2309893,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-13
206.5,209.94,204.52,206.71,3131089,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-16
205.11,206.6,201.59,205.85,2518494,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-17
205.14,207.88,203.95,204.03,2283631,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-18
202.62,204.8,200.63,204.55,2002211,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-19
204.85,205.99,202.61,203.39,2021256,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-20
205.17,207.55,204.64,207.39,2166703,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-23
209.46,211.14,208.49,208.7,2755110,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-24
208.6,208.6,206.07,207.24,2080694,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-25
207.57,207.85,205.0,205.64,1429253,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-27
206.48,206.75,202.89,204.08,2563882,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-11-30
205.7,208.29,202.13,202.4,4512842,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-01
201.9,204.53,201.43,203.56,2706692,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-02
204.52,205.26,201.8,202.26,4198831,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-03
202.1,206.42,202.1,206.05,2997658,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-04
205.6,205.93,203.82,204.99,2103388,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-07
203.65,206.7,203.21,205.21,2076888,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-08
203.83,206.99,203.83,205.88,1973362,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-09
204.97,205.74,201.39,202.52,2239858,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-10
200.68,203.75,200.0,203.06,1955397,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-11
205.27,205.46,197.91,198.0,2190243,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-14
198.81,201.42,197.46,200.3,1984391,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-15
200.84,201.0,198.61,198.85,2115470,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-16
200.03,202.81,199.01,202.2,2735677,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-17
202.09,204.49,200.73,203.6,6433073,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-18
199.61,203.8,199.61,202.49,2073741,0.0,0.0,UNP,Union Pacific Corporation,Industrials,Rail Transportation,2020-12-21
