Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
196.0,196.42,190.72,193.07,12699944,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-10-26
193.0,193.7,189.22,190.06,8772472,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-10-27
183.98,184.7,179.34,180.87,18138124,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-10-28
183.0,187.0,179.34,184.87,17030232,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-10-29
182.66,184.22,179.23,181.71,10370026,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-10-30
184.51,186.92,183.89,184.74,8221822,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-02
186.83,189.53,185.16,188.34,6575849,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-03
192.89,196.88,191.53,193.97,8275531,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-04
198.36,200.99,197.29,197.64,7342432,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-05
197.35,199.68,195.43,198.47,6295082,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-06
214.69,217.65,212.28,212.68,18508395,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-09
211.94,214.06,210.54,213.31,8186099,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-10
212.17,214.28,211.67,212.7,5486139,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-11
211.43,212.54,207.14,208.26,7478123,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-12
209.91,211.28,207.3,210.48,6484623,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-13
214.57,215.09,211.83,212.7,12255356,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-16
210.56,212.09,209.5,210.71,7434043,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-17
209.72,211.15,207.67,207.83,7105303,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-18
207.24,208.73,205.53,207.57,5796690,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-19
207.13,208.11,203.8,203.88,9884771,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-20
204.7,209.0,204.7,208.16,6210768,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-23
210.85,213.82,209.4,209.68,10290044,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-24
209.67,211.95,208.87,210.89,6908129,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-25
212.0,212.03,208.81,211.0,3512893,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-27
209.54,210.54,206.6,210.35,7872767,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-11-30
212.13,213.67,211.04,211.2,8186746,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-01
211.0,211.4,208.48,210.18,9856636,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-02
209.78,211.11,207.61,208.05,9306103,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-03
209.74,212.72,208.51,212.68,5866149,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-04
211.97,214.5,211.8,212.65,10728737,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-07
209.95,213.13,209.89,212.77,8756154,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-08
213.23,213.5,208.95,209.58,6357805,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-09
208.51,209.3,207.25,207.61,10580881,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-10
205.36,206.89,204.5,206.24,9365375,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-11
207.85,211.3,206.97,207.25,12058230,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-14
208.54,209.44,206.16,208.36,9895633,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-15
208.48,209.12,207.14,208.27,7617443,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-16
209.0,211.78,208.85,211.18,6653200,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-17
211.02,211.98,209.87,211.31,14879932,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-18
208.27,209.8,204.79,209.01,7728573,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-21
208.39,208.4,205.6,205.84,7528937,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-22
207.33,207.33,205.11,205.3,6636910,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-23
206.64,208.82,206.6,208.7,3367895,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-24
209.85,213.46,208.95,212.63,5922316,0.0,0.0,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2020-12-28
