Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
29.06,29.25,28.21,28.45,4092644,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-10-26
28.37,28.47,27.54,27.56,3125150,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-10-27
26.91,27.68,26.7,27.43,5239760,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-10-28
27.33,28.63,27.16,28.41,4285046,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-10-29
28.15,28.27,26.57,27.29,6851467,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-10-30
27.81,28.26,27.57,28.12,5074064,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-02
28.56,28.75,28.13,28.39,4478841,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-03
28.5,28.87,28.09,28.48,3251527,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-04
28.84,29.26,28.68,28.8,3210835,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-05
28.85,28.89,28.15,28.28,3152202,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-06
30.0,30.38,28.08,28.14,7215577,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-09
27.92,28.03,27.4,27.78,5883835,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-10
28.04,28.81,27.58,28.39,5160653,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-11
28.33,28.6,27.5,27.75,4416463,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-12
28.05,29.19,27.96,29.14,4091133,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-13
29.59,29.71,29.1,29.36,2650007,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-16
29.04,29.38,28.7,29.18,2904450,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-17
29.13,29.53,28.77,28.78,2685860,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-18
28.76,29.05,28.45,29.02,2671912,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-19
29.09,29.4,28.57,28.75,4755105,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-20
28.9,29.31,28.59,29.11,3526181,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-23
29.46,29.47,29.14,29.24,3662041,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-24
29.14,29.21,28.68,29.13,2764963,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-25
29.2,29.25,28.56,28.71,1440706,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-27
28.67,29.06,28.25,29.04,6066729,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-11-30
29.31,29.5,28.99,29.27,3565568,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-01
29.12,29.12,28.54,28.89,2568399,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-02
28.84,29.78,28.81,29.49,5609898,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-03
30.0,31.05,29.92,30.72,7398453,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-04
30.72,30.72,29.83,30.23,3625788,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-07
30.05,31.02,29.88,30.8,4688737,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-08
31.07,31.79,30.92,31.71,7278418,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-09
31.54,31.76,31.19,31.75,5165316,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-10
31.4,32.06,31.25,32.0,4101132,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-11
32.27,33.0,32.14,32.36,4831957,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-14
32.47,33.56,32.47,33.56,5443883,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-15
33.67,33.98,33.44,33.9,4414523,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-16
34.0,34.7,33.95,34.46,5368842,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-17
34.39,34.5,33.5,33.74,8431298,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-18
33.17,33.53,32.78,33.33,3393342,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-21
33.48,33.65,33.08,33.35,2336810,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-22
33.76,34.3,33.58,33.61,4289513,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-23
33.71,33.88,33.5,33.85,1135353,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-24
34.0,34.08,33.57,33.71,2592193,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-28
33.83,34.03,33.26,33.33,2007035,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-29
33.41,34.01,33.24,33.65,2141005,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-30
33.68,33.73,33.19,33.53,2646724,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2020-12-31
33.53,33.67,32.6,32.81,4910671,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2021-01-04
32.87,33.32,32.8,33.12,3941243,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2021-01-05
33.23,33.59,32.92,33.29,5627827,0.0,0.0,WY,Weyerhaeuser,Real Estate,Timber REITs,2021-01-06
