Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
37.39,37.42,36.34,36.77,3020386,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-10-26
36.68,36.69,35.35,35.36,3876889,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-10-27
35.84,36.28,34.01,34.15,6863357,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-10-28
34.21,34.6,33.59,34.22,4674264,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-10-29
33.97,34.42,33.36,33.95,5357451,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-10-30
34.59,35.65,34.22,35.52,4770678,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-02
36.19,36.54,35.99,36.24,5056761,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-03
35.65,37.2,35.28,36.53,5166800,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-04
36.84,37.54,36.6,37.2,5266167,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-05
37.23,37.64,36.65,36.9,4019986,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-06
40.27,42.23,39.17,41.49,8026138,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-09
41.49,42.3,41.14,41.85,4937868,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-10
41.84,41.92,40.66,40.88,4231271,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-11
40.3,40.77,39.74,40.31,3948232,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-12
40.75,41.82,40.5,41.52,2940917,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-13
42.75,43.26,42.24,43.23,5428538,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-16
42.58,43.36,42.23,43.0,4816243,0.0,0.0,AFL,Aflac,Financials,Life & Health Insurance,2020-11-17
