Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
105.69,107.98,104.54,106.06,1497546,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-10-26
106.81,109.23,105.7,106.71,2525800,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-10-27
101.18,102.26,96.24,97.4,6219027,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-10-28
97.3,98.47,95.52,95.82,2961058,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-10-29
95.23,96.64,94.12,95.12,2692152,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-10-30
96.0,96.58,94.14,95.81,1487315,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-02
97.08,97.94,95.18,95.67,1456144,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-03
97.59,99.98,96.92,99.34,2134390,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-04
101.98,103.38,101.16,102.71,1947905,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-05
103.45,103.55,101.17,101.63,1070589,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-06
101.48,102.78,99.2,99.27,2168581,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-09
98.41,98.56,95.04,96.68,2129773,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-10
98.32,99.12,96.8,97.2,1878197,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-11
97.09,98.99,96.61,98.23,1722514,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-12
98.74,101.78,98.73,101.53,2119962,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-13
100.28,102.02,100.21,101.68,1003053,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-16
102.03,103.19,100.79,102.45,1470500,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-17
102.83,102.99,100.55,100.59,1189101,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-18
100.92,102.04,99.68,101.5,976784,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-19
102.0,104.16,102.0,102.32,1494342,0.0,0.0,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2020-11-20
