Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
94.78,94.78,92.84,94.48,966141,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-10-26
95.34,96.87,94.75,95.18,1005025,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-10-27
92.31,93.84,90.07,90.78,1001001,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-10-28
90.5,94.57,90.23,93.77,828664,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-10-29
92.94,94.06,90.86,93.21,1283821,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-10-30
94.74,97.85,93.79,96.84,944455,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-02
96.75,98.28,96.34,97.62,990323,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-03
97.52,97.52,93.1,93.43,1668924,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-04
96.05,106.33,93.0,105.5,3252071,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-05
104.83,113.33,102.8,112.22,2649957,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-06
114.95,120.81,114.8,116.73,2187036,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-09
116.0,118.3,113.07,117.93,1273086,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-10
117.49,119.98,116.5,118.57,910080,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-11
117.5,120.69,116.64,118.64,854517,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-12
118.92,122.97,117.69,122.48,1046847,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-13
123.0,129.15,123.0,128.92,1565425,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-16
127.53,128.6,124.4,127.95,1928475,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-17
127.95,130.21,126.53,126.54,900688,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-18
126.01,126.49,122.45,125.8,1169224,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-19
126.0,128.5,125.5,127.89,775975,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-20
129.3,134.76,129.03,134.06,1424778,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-23
135.67,137.71,134.29,137.26,1449102,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-24
135.2,136.42,133.24,134.73,1143843,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-25
136.42,138.19,136.26,137.66,531390,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-27
137.25,137.5,134.16,135.97,1117916,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-11-30
137.5,138.19,134.82,135.88,1744114,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-01
134.82,136.0,132.16,135.25,1592062,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-02
135.32,136.23,130.76,131.72,1987718,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-03
132.51,139.23,132.21,139.22,1174644,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-04
139.44,141.04,138.1,140.0,1149127,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-07
139.21,144.12,138.2,143.95,912202,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-08
144.09,146.11,140.63,142.55,1463476,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-09
141.0,143.7,140.21,141.43,1124704,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-10
140.15,141.94,136.61,138.65,978391,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-11
140.56,141.0,134.25,134.57,1399473,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-14
136.77,138.22,135.01,137.94,1242325,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-15
138.69,139.99,135.53,135.78,927512,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-16
137.24,137.97,134.15,137.48,1140046,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-17
137.5,139.29,137.05,138.9,2526402,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-18
135.78,142.18,135.41,142.02,1201066,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-21
143.44,147.99,142.65,146.27,1313646,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-22
147.85,152.82,147.26,149.91,1739163,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-23
149.9,150.37,148.28,149.64,487443,0.0,0.0,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2020-12-24
