Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
167.76,168.24,163.44,165.61,505662,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-10-26
165.74,165.74,162.02,162.39,530483,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-10-27
159.01,161.15,156.54,158.25,747121,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-10-28
158.98,162.76,155.33,161.11,743573,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-10-29
159.92,161.49,157.83,160.83,659913,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-10-30
163.86,165.53,162.39,164.45,522852,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-02
167.0,170.1,166.4,167.45,592401,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-03
164.49,172.94,161.94,168.4,855479,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-04
170.86,174.63,170.53,172.69,653729,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-05
172.95,172.95,168.7,169.78,373256,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-06
182.58,187.48,182.18,182.94,1412187,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-09
182.74,184.53,178.65,183.17,1042794,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-10
185.16,185.18,180.03,181.3,573590,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-11
180.38,180.88,175.67,177.3,586239,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-12
179.58,185.62,178.99,184.88,718989,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-13
188.46,188.57,184.32,185.97,648504,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-16
183.61,185.08,181.51,184.23,588733,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-17
184.5,188.44,183.28,183.33,451544,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-18
181.82,184.1,180.26,183.63,444811,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-19
182.81,182.99,179.77,179.8,549207,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-20
181.73,184.25,181.08,183.76,537535,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-23
186.81,193.19,185.72,192.67,769231,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-24
191.79,191.94,188.48,190.19,679272,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-25
190.08,191.5,189.25,190.75,300281,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-27
188.35,190.12,184.74,185.24,1106917,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-11-30
189.51,190.79,187.93,190.25,782642,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-01
189.95,193.86,189.31,193.44,829572,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-02
193.08,196.69,192.85,194.71,729933,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-03
196.05,198.16,195.43,196.28,519404,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-04
195.14,195.34,192.56,194.44,817163,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-07
192.39,193.7,191.56,192.51,659601,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-08
194.02,196.42,191.81,193.24,697010,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-09
191.2,193.12,190.27,192.85,843194,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-10
190.38,192.33,189.48,191.74,546426,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-11
194.61,194.61,190.89,190.99,948977,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-14
193.09,193.14,189.64,190.77,683398,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-15
192.25,192.68,188.86,189.74,797778,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-16
190.2,190.79,188.17,190.05,694043,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-17
188.05,190.32,185.63,186.94,2388771,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-18
186.55,187.76,182.83,186.76,785157,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-21
187.24,187.72,184.44,185.06,596248,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-22
185.63,189.69,185.63,188.54,453870,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-23
188.98,189.88,186.95,189.7,212134,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-24
191.16,193.07,189.93,189.98,406971,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-28
190.97,191.36,188.84,189.07,412067,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-29
188.83,192.5,188.83,191.35,398125,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-30
191.21,194.66,191.13,194.33,424080,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2020-12-31
195.3,195.9,185.8,188.11,601677,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-04
188.11,189.85,185.71,187.01,567951,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-05
191.26,199.94,190.83,197.74,746441,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-06
200.0,202.18,199.4,200.13,592453,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-07
200.75,201.64,198.52,201.55,550337,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-08
199.22,201.96,199.11,201.58,862427,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-11
202.09,206.15,201.34,204.55,740606,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-12
204.56,204.86,201.5,203.07,469523,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-13
203.97,207.28,202.52,206.95,754645,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-14
204.63,208.53,203.43,208.28,710905,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-15
209.6,213.73,209.27,212.99,828586,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-19
213.74,214.49,211.39,213.16,545221,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-20
213.4,214.5,211.94,211.94,673874,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-21
210.4,212.45,210.0,211.79,455035,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-22
210.33,213.47,209.35,211.61,639357,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-25
213.23,213.41,210.34,211.27,561229,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-26
207.28,209.96,201.06,201.46,897683,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-27
204.47,209.41,199.31,206.66,778707,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-28
204.97,204.97,197.81,197.87,1023596,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-01-29
199.82,201.06,196.77,200.84,618504,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-01
203.63,206.2,202.74,205.09,523648,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-02
204.35,205.3,201.04,201.86,853375,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-03
202.47,209.43,202.26,209.31,484768,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-04
210.69,213.29,209.89,211.06,469306,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-05
211.31,213.51,210.94,213.31,401388,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-08
212.83,215.45,211.46,214.66,570282,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-09
215.23,217.74,213.74,215.05,753654,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-10
215.0,215.91,212.96,214.7,449772,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-11
214.0,218.35,213.79,218.08,417302,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-12
219.75,221.37,218.65,220.19,835596,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-16
219.16,219.8,216.3,218.39,521391,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-17
215.75,217.3,212.8,214.2,607756,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-18
215.75,224.7,214.31,224.49,1253892,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-19
223.46,227.93,222.14,225.88,878478,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-22
227.96,227.96,222.81,226.5,727195,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-23
226.25,232.81,225.21,232.1,650183,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-24
233.49,233.91,223.11,223.94,577926,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-25
224.1,226.29,220.38,221.24,894874,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-02-26
224.98,230.73,224.98,229.08,667508,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-01
228.27,229.07,225.79,225.79,758268,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-02
226.75,228.26,223.38,223.69,900357,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-03
221.91,224.27,213.38,217.24,954028,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-04
221.26,223.3,213.9,222.3,966003,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-05
225.0,230.0,223.48,224.07,862462,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-08
223.66,227.04,221.3,223.5,865205,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-09
225.75,228.49,224.47,225.65,1175443,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-10
224.94,229.34,222.25,226.54,1002801,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-11
229.18,229.42,224.54,225.49,704845,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-12
226.13,228.18,221.83,228.13,979360,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-15
226.28,227.62,220.4,221.12,928549,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-16
221.76,225.53,220.3,225.49,944786,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-17
227.01,236.44,225.67,226.9,1630763,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-18
225.18,230.34,221.9,228.43,3370057,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-19
228.42,230.08,225.83,229.18,931392,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-22
227.79,229.16,220.82,221.57,773254,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-23
223.6,228.38,222.47,222.47,630796,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-24
222.53,228.4,219.18,227.69,687147,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-25
229.51,232.66,226.54,232.58,720478,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-26
229.85,231.68,226.11,229.28,582676,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-29
230.44,233.86,230.39,232.8,364757,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-30
232.53,235.16,231.69,232.45,638484,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-03-31
234.05,235.55,232.69,235.41,505381,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-04-01
238.45,240.52,235.97,238.28,557353,0.0,0.0,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2021-04-05
