Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
159.94,164.15,157.66,160.35,118018020,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-10-26
161.25,164.58,160.56,164.32,85820940,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-10-27
162.46,163.2,158.12,158.14,111766600,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-10-28
160.06,162.86,158.2,160.55,131752000,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-10-29
157.89,158.35,150.95,151.81,167921620,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-10-30
153.09,153.99,147.51,150.22,144704600,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-02
150.93,153.74,149.05,152.42,97954940,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-03
158.0,162.24,156.99,162.06,136780820,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-04
166.0,168.34,164.44,166.1,115713700,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-05
165.23,166.1,161.6,165.57,92345000,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-06
161.55,164.45,155.61,157.19,143808120,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-09
154.75,155.7,150.97,151.75,131299120,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-10
153.09,156.96,152.5,156.87,87170460,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-11
158.0,158.79,154.3,155.51,87424160,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-12
156.1,157.09,154.27,156.44,75251740,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-13
154.66,157.14,153.63,156.55,76173520,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-16
159.18,159.46,156.76,156.78,68894700,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-17
156.7,157.0,155.26,155.27,58336720,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-18
155.27,156.25,154.05,155.85,59955400,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-19
155.85,156.64,154.9,154.97,66927760,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-20
155.83,156.99,153.27,154.92,94177740,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-23
155.02,156.71,154.31,155.9,71742040,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-24
157.09,159.9,157.01,159.25,75496060,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-25
160.56,160.81,159.5,159.77,47857340,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-27
160.42,161.42,156.28,158.4,81278320,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-11-30
159.43,162.45,157.86,161.0,90887640,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-01
161.08,161.6,158.66,160.18,62548480,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-02
160.27,161.43,159.07,159.34,57840780,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-03
159.91,159.91,157.94,158.13,58272220,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-04
157.82,159.04,157.08,157.9,55026320,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-07
157.94,159.21,156.0,158.86,65726060,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-08
158.39,158.72,154.4,155.21,82016720,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-09
154.45,157.1,153.8,155.07,60596440,0.0,0.0,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2020-12-10
