Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
13.27,13.37,12.79,13.05,10774704,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-10-26
13.14,13.29,13.03,13.16,7758496,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-10-27
12.91,12.97,12.69,12.77,12563392,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-10-28
12.77,12.86,12.58,12.7,9947760,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-10-29
13.12,13.29,12.52,13.06,26921392,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-10-30
13.12,13.68,12.98,13.51,27386256,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-02
15.2,16.19,14.95,15.59,62357744,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-03
15.53,16.15,15.5,15.9,18361616,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-04
16.02,16.18,15.81,16.06,15902928,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-05
15.99,16.47,15.91,16.44,14217024,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-06
16.61,16.91,16.34,16.36,14933360,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-09
16.12,16.31,15.98,16.09,12160672,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-10
16.19,16.65,16.11,16.58,8976224,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-11
16.48,16.83,16.41,16.69,8019808,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-12
16.94,17.14,16.7,17.12,9962096,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-13
17.19,17.26,16.88,17.08,10613392,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-16
17.01,17.38,16.98,17.36,10644880,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-17
17.43,17.52,16.99,17.0,9746656,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-18
16.99,17.07,16.82,17.05,6393856,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-19
17.06,17.13,16.76,16.78,8481632,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-20
16.69,16.93,16.56,16.78,8507008,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-23
16.9,17.07,16.78,17.02,8556416,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-24
17.08,17.17,16.88,16.91,5192752,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-25
17.01,17.11,16.77,17.04,4404736,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-27
17.03,17.18,16.71,16.92,12050112,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-11-30
16.88,17.11,16.78,17.06,7547904,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-01
16.94,17.05,16.85,16.97,6710480,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-02
16.91,17.03,16.81,16.86,6182304,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-03
16.86,16.99,16.78,16.88,6635232,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-04
16.93,17.23,16.84,17.23,9978944,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-07
17.37,18.06,17.35,17.73,18475632,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-08
17.71,17.78,17.29,17.35,7180768,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-09
17.27,17.39,17.13,17.27,7626736,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-10
17.27,17.56,17.2,17.33,9876608,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-11
17.36,17.72,17.14,17.16,8288576,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-14
17.33,17.52,17.29,17.47,9906880,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-15
17.85,18.34,17.77,17.86,16469120,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-16
17.86,17.96,17.62,17.84,9301840,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-17
17.97,18.19,17.79,17.98,21018384,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-18
17.71,17.96,17.46,17.95,8198576,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-21
17.94,18.26,17.94,18.18,10561472,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-22
18.13,18.28,17.9,17.91,5513024,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-23
18.04,18.09,17.87,18.05,1628544,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-24
18.26,18.36,18.16,18.18,7454480,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-28
18.24,18.28,17.92,17.97,4295936,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-29
18.08,18.3,18.0,18.06,5379984,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-30
18.12,18.18,17.98,18.16,5031472,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2020-12-31
18.17,18.23,17.53,17.7,13178416,0.0,0.0,ANET,Arista Networks,Information Technology,Communications Equipment,2021-01-04
