Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
9.07,9.1,8.35,8.56,13881294,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-10-26
8.56,8.6,8.32,8.35,8028301,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-10-27
7.96,8.15,7.7,7.79,13792210,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-10-28
7.67,8.22,7.44,8.19,12689652,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-10-29
8.21,8.3,7.96,8.3,11479710,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-10-30
8.41,8.96,7.98,8.88,12978637,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-02
9.1,9.2,8.62,8.73,10428686,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-03
8.75,9.3,8.43,8.99,19236863,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-04
9.19,9.59,8.95,8.97,15996460,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-05
8.87,9.09,8.5,8.54,12204499,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-06
9.73,10.52,9.59,9.75,26861558,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-09
10.03,10.2,9.57,9.99,18289516,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-10
10.27,10.38,9.7,9.95,12631397,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-11
9.73,10.21,9.64,9.7,13381651,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-12
9.86,10.38,9.8,10.32,9907875,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-13
11.0,11.16,10.71,11.14,11238852,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-16
10.76,11.46,10.72,11.44,11772969,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-17
11.61,11.9,11.03,11.04,12374941,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-18
11.0,11.4,10.89,11.35,10344063,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-19
11.37,11.5,11.16,11.44,7963705,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-20
11.67,12.89,11.64,12.86,13446879,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-23
13.56,14.35,13.39,14.04,18789061,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-24
13.8,14.41,13.65,14.12,10782962,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-25
14.13,14.39,13.76,13.92,5393519,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-27
13.67,13.76,12.85,12.89,11868696,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-11-30
13.4,13.53,12.36,12.37,12476167,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-01
12.33,13.56,12.2,13.11,10107446,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-02
13.24,13.96,12.97,13.74,8372185,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-03
14.04,15.23,14.02,15.18,13982280,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-04
14.85,15.04,14.39,14.61,9997965,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-07
14.38,15.26,14.31,14.76,10115684,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-08
15.07,15.43,14.59,15.02,12417126,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-09
14.97,16.86,14.91,16.5,16598198,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-10
16.31,16.56,15.75,16.1,8903476,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-11
16.68,16.81,15.26,15.31,10583441,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-14
15.5,16.09,15.06,15.89,8781710,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-15
15.95,16.24,15.54,15.8,7005329,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-16
15.96,16.14,15.56,15.75,7233335,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-17
15.7,15.93,15.18,15.33,11712784,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-18
14.25,15.19,14.2,14.85,7723298,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-21
14.84,14.88,14.08,14.12,7260829,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-22
14.33,15.17,14.31,14.78,8416138,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-23
14.79,14.8,14.26,14.43,3763210,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-24
14.52,14.82,14.15,14.21,5494386,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-28
14.3,14.5,13.96,14.15,6205129,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-29
14.14,14.77,14.13,14.57,5937126,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-30
14.4,14.53,14.06,14.19,7479639,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2020-12-31
14.65,14.95,14.38,14.77,9609944,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2021-01-04
14.86,16.73,14.86,16.18,15103131,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2021-01-05
16.4,17.08,15.69,16.84,13579063,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2021-01-06
17.0,17.5,16.73,17.11,8578188,0.0,0.0,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,2021-01-07
