Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
289.94,291.26,283.04,286.4,646749,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-10-26
287.13,288.34,283.37,283.5,545085,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-10-27
277.0,279.65,272.75,272.98,919515,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-10-28
272.81,279.65,271.27,276.77,724521,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-10-29
274.92,278.05,271.68,276.24,838058,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-10-30
280.72,287.6,279.1,286.69,699485,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-02
289.97,292.71,286.97,289.04,852785,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-03
289.97,291.89,284.64,289.29,937605,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-04
295.26,306.51,295.07,303.34,877374,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-05
303.43,307.78,302.14,306.72,762595,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-06
318.91,327.89,312.51,312.67,1296824,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-09
315.08,315.56,309.52,309.97,1290519,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-10
297.0,300.16,277.16,280.84,4754902,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-11
277.89,279.97,263.61,265.31,4900681,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-12
268.03,269.56,262.26,263.87,2579443,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-13
267.58,269.72,262.8,266.44,2242375,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-16
264.59,266.67,262.24,266.29,2239308,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-17
266.82,272.1,266.02,267.7,2044686,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-18
266.75,272.63,263.79,270.36,1354733,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-19
269.94,271.15,265.38,270.48,1134011,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-20
272.77,276.67,270.9,275.26,1291986,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-23
278.0,286.38,276.26,284.02,1959739,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-24
283.66,286.22,277.26,278.12,1190867,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-25
279.01,279.97,276.56,277.83,674705,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-27
278.0,280.15,275.79,280.14,1326753,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-11-30
285.0,286.0,279.27,283.18,1283494,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-01
281.69,282.5,273.87,273.88,1393963,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-02
274.38,275.2,266.07,267.25,2049627,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-03
267.01,273.85,264.63,273.76,1604302,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-04
274.48,276.43,268.16,269.18,1123301,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-07
269.0,270.04,267.1,268.23,1375447,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-08
269.38,271.61,267.86,270.57,1052178,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-09
269.21,270.22,266.69,268.82,1077455,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-10
266.59,268.63,265.7,267.36,765047,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-11
269.08,270.33,265.32,265.4,904829,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-14
270.1,272.07,268.06,270.01,1687849,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-15
270.05,271.07,267.4,268.9,1164570,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-16
269.99,271.43,268.5,268.6,952256,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-17
267.62,270.46,265.32,269.55,2765926,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-18
265.37,266.57,260.6,264.49,1403229,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-21
264.01,264.68,261.61,264.01,1290437,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-22
266.04,268.98,265.0,266.25,856337,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-23
266.08,268.36,265.13,268.35,227647,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-24
271.52,272.6,268.4,268.6,640938,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-28
271.17,274.37,267.38,268.73,790123,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-29
269.98,273.0,269.41,271.1,618212,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-30
269.42,273.58,268.3,273.22,804427,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2020-12-31
275.39,276.47,267.17,268.2,1295567,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-04
268.25,283.48,268.25,282.39,1896752,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-05
283.0,293.25,282.72,289.97,1903318,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-06
289.56,290.5,283.84,285.29,1171313,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-07
286.35,287.83,281.35,285.74,1252260,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-08
284.57,286.3,281.9,283.13,774563,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-11
283.13,283.92,280.25,283.06,1120478,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-12
283.84,292.38,283.84,290.67,1625255,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-13
290.87,291.89,285.97,286.25,1130609,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-14
284.78,288.38,281.68,286.91,1997558,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-15
289.93,289.99,283.7,285.66,1405955,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-19
287.33,288.78,286.22,286.56,708534,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-20
286.5,287.41,281.76,282.61,931275,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-21
281.38,287.36,281.0,283.6,806847,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-22
283.27,283.65,276.42,279.02,1148669,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-25
279.96,281.81,277.95,277.99,974654,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-26
274.95,274.96,266.67,269.98,1145284,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-27
273.67,279.0,270.0,275.86,993856,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-28
273.79,275.69,266.14,266.76,1474103,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-01-29
268.71,271.29,265.39,268.95,1378387,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-01
271.0,276.24,270.02,273.95,1074861,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-02
274.86,279.92,274.12,276.6,1081754,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-03
261.86,266.0,245.75,256.7,6316021,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-04
256.01,257.67,249.88,253.15,3198542,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-05
259.95,260.99,251.88,253.64,2093765,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-08
253.78,256.21,249.79,254.44,1370988,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-09
255.07,256.0,251.11,253.58,1498785,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-10
255.0,258.99,254.18,257.69,1198505,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-11
256.75,263.33,256.75,260.55,1170692,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-12
262.23,263.53,259.71,260.73,1133491,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-16
259.88,261.74,256.78,260.01,895148,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-17
260.0,263.88,258.47,262.65,931901,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-18
262.57,265.48,262.57,263.88,1256897,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-19
262.74,265.65,261.05,265.48,1017302,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-22
265.65,267.49,259.59,263.33,1364782,0.0,0.0,APD,Air Products,Materials,Industrial Gases,2021-02-23
