Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
70.0,71.51,63.0,65.2,11444403,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-15
65.0,65.2,58.65,61.0,4199308,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-16
60.0,61.0,55.7,58.86,4642531,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-19
60.04,61.9,58.99,60.15,3055476,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-20
60.49,62.21,56.53,61.81,3607103,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-21
61.95,62.95,60.51,62.1,845085,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-22
62.1,62.94,58.45,58.5,1230352,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-23
58.77,59.81,57.65,59.8,796280,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-26
60.0,61.11,58.71,58.85,630252,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-27
58.42,60.04,58.07,58.75,309565,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-28
59.0,59.82,58.82,59.17,292894,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-29
59.41,59.56,57.8,58.01,284043,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-04-30
58.53,60.41,58.53,60.06,516157,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-03
59.78,60.0,57.82,58.55,879088,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-04
58.77,59.29,57.51,58.18,645052,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-05
57.98,57.98,54.72,56.93,1329370,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-06
57.73,57.95,55.76,57.26,552603,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-07
59.21,59.21,54.47,55.5,1348364,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-10
54.43,54.95,50.75,53.46,1483388,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-11
52.57,53.44,49.66,52.25,1351221,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-12
52.31,54.89,49.41,49.87,1645535,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-13
50.24,57.82,50.01,57.26,1198906,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-14
56.17,62.87,55.82,62.44,1033526,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-17
62.01,65.89,61.91,64.29,1122068,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-18
62.46,65.27,61.54,64.61,603701,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-19
66.3,68.55,66.3,67.9,964180,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-20
69.0,70.17,65.88,68.35,880310,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-21
68.42,70.73,66.52,70.31,834008,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-24
70.01,72.53,67.59,69.95,1028575,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-25
69.34,69.98,67.54,68.62,529370,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-26
68.87,71.91,67.09,69.68,1112696,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-27
69.85,75.18,69.0,74.31,864594,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-05-28
74.25,74.72,67.67,68.86,1013860,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-01
68.86,72.03,68.52,70.09,499422,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-02
69.24,72.1,69.06,70.47,352898,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-03
69.99,74.61,69.99,74.36,524472,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-04
74.2,77.46,72.22,77.25,662001,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-07
77.17,80.15,77.17,79.47,941755,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-08
79.48,81.8,78.43,80.25,863889,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-09
80.18,82.14,79.17,81.86,1161204,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-10
82.0,82.51,79.79,82.42,1144632,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-11
82.5,84.46,81.18,81.89,869894,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-14
81.51,82.96,80.3,81.65,588668,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-15
81.03,86.77,81.03,85.81,1455103,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-16
86.03,88.48,85.25,88.22,1375266,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-17
87.44,90.03,87.3,88.21,2514241,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-18
88.0,88.0,83.28,83.91,620704,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-21
84.11,84.6,77.59,80.3,1214726,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-22
80.15,82.87,80.15,81.49,388295,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-23
85.91,87.16,83.92,84.5,754831,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-24
84.76,85.49,82.75,84.86,537746,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-25
85.31,86.46,81.07,82.12,810551,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-28
81.73,84.9,81.2,83.32,635490,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-29
78.37,79.0,73.94,75.17,2206213,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-06-30
74.28,74.9,69.41,70.98,1524250,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-07-01
70.98,72.58,70.53,72.07,669784,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-07-02
72.02,72.15,68.0,68.06,1394846,0.0,0.0,APP,AppLovin,Information Technology,Application Software,2021-07-06
