Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
159.27,159.85,155.83,156.83,826927,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-10-26
156.45,158.58,154.07,156.16,818304,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-10-27
153.41,154.75,152.02,152.17,908082,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-10-28
152.6,153.85,150.4,151.51,622100,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-10-29
151.09,152.45,150.08,151.52,836220,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-10-30
152.96,154.92,152.3,154.92,1110205,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-02
156.26,157.23,154.89,155.75,915422,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-03
156.61,160.1,156.11,158.64,1145092,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-04
159.6,159.92,157.34,158.39,618402,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-05
157.92,159.68,156.44,157.12,1075898,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-06
164.68,169.47,153.65,154.07,1741105,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-09
154.51,161.88,153.62,161.76,1425476,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-10
162.32,163.57,160.71,162.75,902314,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-11
162.57,163.18,159.92,161.37,830807,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-12
161.6,164.76,161.54,164.37,717752,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-13
166.7,167.19,161.63,165.33,859451,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-16
164.77,165.44,163.41,165.29,553380,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-17
165.43,167.06,162.52,162.53,558352,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-18
162.07,163.94,160.66,163.74,479595,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-19
163.87,164.87,162.88,164.14,539267,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-20
164.81,166.17,163.49,163.97,746583,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-23
165.75,166.4,162.03,162.36,1011691,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-24
162.33,163.14,161.06,162.58,497297,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-25
162.75,163.21,161.54,162.14,251247,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-27
161.97,163.92,160.98,163.73,881043,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-11-30
165.08,168.83,164.92,168.11,821351,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-01
167.77,170.18,165.46,165.97,699091,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-02
165.95,168.84,165.95,167.73,672097,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-03
169.07,171.24,168.64,170.94,665295,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-04
170.35,171.67,170.35,171.04,596252,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-07
170.97,171.93,170.38,170.79,571397,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-08
170.94,171.95,168.45,171.26,646746,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-09
170.14,172.4,170.14,171.01,605987,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-10
170.05,172.65,170.02,172.58,712328,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-11
173.73,176.92,172.48,172.83,1022596,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-14
172.84,176.18,171.33,176.18,1069821,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-15
176.76,178.88,176.37,177.63,720501,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-16
179.01,179.79,176.49,177.7,905488,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-17
177.36,178.5,174.25,175.26,3004787,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-18
173.19,175.22,172.89,174.62,981907,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-21
174.39,176.09,173.75,175.89,643070,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-22
176.72,178.07,173.1,173.69,588914,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-23
173.78,174.6,173.06,174.5,212771,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-24
174.63,176.2,174.14,175.87,342930,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-28
176.82,178.47,174.52,175.16,314034,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-29
174.4,175.8,173.52,175.09,410460,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-30
174.93,178.37,173.95,178.22,497088,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2020-12-31
178.28,178.98,170.56,170.77,1310426,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-04
170.32,172.59,170.13,170.59,792408,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-05
164.25,164.92,161.76,163.25,4432187,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-06
165.4,166.42,163.89,165.34,1450004,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-07
165.94,166.5,163.86,165.91,967277,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-08
165.47,166.16,163.98,164.77,712742,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-11
164.11,165.15,161.98,164.01,2108210,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-12
164.88,169.9,164.1,168.9,2025164,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-13
169.24,169.85,167.15,167.67,1336982,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-14
167.34,168.73,165.55,168.37,939095,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-15
169.32,169.46,165.99,166.51,1021849,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-19
166.44,172.19,166.06,171.03,1022254,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-20
170.85,171.92,170.02,171.64,674938,0.0,0.0,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2021-01-21
