Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
97.19,97.81,96.66,97.48,775079,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-10-26
97.66,98.17,97.03,97.07,712832,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-10-27
96.07,96.65,92.62,92.69,850005,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-10-28
92.4,93.37,90.66,92.08,714365,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-10-29
91.57,92.22,91.05,91.67,1488623,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-10-30
92.51,95.6,92.37,95.51,872847,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-02
96.7,98.4,96.43,97.63,772109,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-03
97.0,98.59,95.49,95.59,680867,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-04
96.62,97.55,94.52,95.02,689007,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-05
95.46,95.69,93.32,93.64,529283,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-06
98.0,99.61,96.64,97.79,827200,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-09
98.24,102.95,97.92,102.45,1381252,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-10
102.68,102.68,99.82,100.74,1087644,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-11
99.89,100.73,97.45,98.72,1257353,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-12
99.43,102.74,99.24,102.16,966849,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-13
103.57,103.66,100.9,101.28,1659923,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-16
100.56,101.41,99.89,100.05,1172432,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-17
100.61,100.83,95.83,96.17,1161931,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-18
96.55,96.79,93.04,95.1,1391415,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-19
95.21,96.46,94.36,95.67,1486454,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-20
96.16,97.16,95.98,96.86,943585,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-23
97.8,101.3,97.52,100.28,1501160,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-24
100.42,100.42,98.36,99.41,803141,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-25
98.72,99.01,96.64,96.82,307881,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-27
96.85,97.26,95.27,95.89,2112720,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-11-30
96.19,97.38,96.19,96.64,1044359,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-12-01
96.5,97.11,94.32,96.19,1031770,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-12-02
96.19,96.88,95.52,96.52,832597,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-12-03
96.96,98.01,95.71,97.27,1133403,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-12-04
96.88,98.25,96.88,97.25,777390,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-12-07
97.02,98.25,96.78,97.59,713138,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-12-08
97.67,98.08,96.9,97.75,713073,0.0,0.0,ATO,Atmos Energy,Utilities,Gas Utilities,2020-12-09
