Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
145.0,145.29,142.02,143.38,917127,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-10-26
143.02,143.97,139.88,139.88,975331,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-10-27
137.5,137.78,131.38,132.71,2068716,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-10-28
132.71,137.82,132.06,136.13,1646649,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-10-29
135.28,140.09,135.28,139.13,1337644,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-10-30
140.1,145.35,137.9,145.34,1190952,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-02
147.03,153.29,146.75,151.15,1338100,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-03
150.58,150.95,146.93,148.33,1183711,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-04
148.79,150.7,147.27,148.24,958502,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-05
148.09,150.41,146.95,147.95,963372,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-06
158.98,184.49,158.98,164.69,3068334,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-09
165.29,174.49,164.55,171.79,2687908,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-10
171.2,171.2,167.21,168.82,1533548,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-11
168.19,168.59,164.41,166.5,986577,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-12
167.39,169.52,167.28,169.34,899055,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-13
176.28,176.79,170.58,173.35,977179,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-16
171.46,175.45,170.01,174.12,668197,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-17
174.96,175.67,169.56,169.6,838913,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-18
168.64,170.57,164.83,170.3,969319,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-19
171.02,172.64,169.77,171.9,1013349,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-20
172.35,174.04,170.56,171.05,1138800,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-23
173.83,175.37,172.36,173.31,914640,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-24
172.38,172.64,169.71,171.05,656428,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-25
170.92,170.92,167.2,167.87,324489,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-27
166.69,168.57,164.28,166.59,2296583,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-11-30
169.28,169.72,167.05,167.45,912687,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-01
168.51,172.99,167.83,169.28,974545,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-02
169.01,171.99,168.71,171.13,1208245,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-03
172.14,174.19,170.75,173.84,1016081,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-04
172.45,174.16,172.24,172.68,555357,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-07
171.64,172.27,169.29,169.35,1175871,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-08
169.16,170.54,164.76,166.45,1425938,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-09
165.88,167.81,162.32,162.52,1080252,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-10
161.1,162.84,160.8,162.36,1062701,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-11
163.24,164.84,159.58,159.67,977978,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-14
160.15,161.98,158.23,161.97,845047,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-15
162.0,163.25,159.71,161.51,1115432,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-16
162.51,163.33,160.51,163.23,1010579,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-17
162.69,163.42,157.01,158.44,2558386,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-18
155.0,158.26,155.0,157.96,970934,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-21
158.31,158.62,156.21,158.56,829567,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-22
159.58,160.89,156.51,156.72,569926,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-23
157.39,158.11,156.1,157.74,246072,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-24
158.0,160.33,157.46,160.33,982393,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-28
161.0,161.65,157.14,157.21,553376,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-29
156.45,158.8,156.36,158.05,584675,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-30
158.48,160.66,156.76,160.43,435790,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2020-12-31
160.07,161.7,155.0,155.52,1509187,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-04
155.7,156.6,154.84,155.07,1243295,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-05
156.16,159.83,155.39,159.23,1191320,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-06
158.32,158.86,155.9,157.06,842646,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-07
156.9,158.69,156.38,158.44,788871,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-08
158.0,158.73,156.38,157.38,603479,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-11
156.58,157.93,155.64,157.38,846539,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-12
157.71,160.24,157.4,159.19,873988,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-13
160.4,162.28,158.6,160.49,874067,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-14
160.13,164.31,159.68,164.0,898088,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-15
164.81,165.31,161.35,162.41,757860,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-19
161.64,167.2,160.94,165.92,933652,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-20
164.39,166.3,162.82,165.46,528468,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-21
164.71,165.64,163.09,164.73,915600,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-22
164.23,167.4,163.0,166.61,852790,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-25
167.0,169.37,166.4,168.11,781765,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-26
166.81,167.99,162.81,163.87,852030,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-27
164.11,169.14,162.71,166.02,560072,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-28
164.51,166.79,162.71,163.67,984616,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-01-29
164.64,165.48,161.1,165.23,1277329,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-01
165.87,167.56,164.73,166.44,899493,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-02
165.05,168.8,164.21,167.79,1446672,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-03
165.92,174.06,164.2,171.85,2350229,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-04
172.23,172.88,169.0,172.22,1132766,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-05
172.0,173.67,170.49,173.33,809721,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-08
173.93,174.51,172.58,173.83,558876,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-09
174.11,176.02,173.21,175.85,580278,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-10
176.2,179.62,174.09,178.93,1162780,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-11
177.76,179.68,176.93,179.51,773076,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-12
179.76,179.95,177.97,178.56,816607,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-16
178.33,179.25,175.86,179.0,816908,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-17
178.64,179.14,177.05,177.77,508810,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-18
177.91,178.83,177.08,178.01,879747,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-19
178.69,180.57,177.15,178.28,853239,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-22
179.86,182.23,178.65,180.74,974354,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-23
181.05,185.3,180.43,185.0,1110010,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-24
185.1,185.66,179.54,180.32,776697,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-25
180.47,180.54,175.68,175.75,1417872,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-02-26
178.1,181.33,176.95,177.02,756516,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-01
176.13,179.3,175.82,178.22,918669,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-02
178.77,183.42,178.15,181.4,1075211,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-03
181.21,181.95,176.02,178.05,1083880,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-04
178.9,180.0,174.85,177.65,1141927,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-05
178.94,185.09,177.02,183.91,1115880,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-08
183.91,186.45,181.95,182.02,691857,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-09
182.35,185.93,178.65,185.18,837398,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-10
185.24,188.3,184.86,186.32,1353019,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-11
186.96,190.49,186.96,190.49,1060699,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-12
190.57,195.46,188.76,193.42,778403,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-15
193.5,194.2,189.05,190.3,745943,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-16
191.16,191.16,187.18,189.72,881845,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-17
189.43,189.61,187.21,188.7,646211,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-18
187.67,188.0,182.43,182.79,1819323,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-19
182.8,186.1,181.44,185.13,716969,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-22
185.59,186.83,183.48,184.75,844463,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-23
181.99,186.68,181.24,184.85,1032557,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-24
184.85,187.53,182.69,187.34,652150,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-25
187.59,189.46,187.21,189.12,566140,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-26
188.6,189.37,185.44,187.35,462959,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-29
185.88,187.75,185.61,187.37,438563,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-30
185.03,186.65,183.21,184.51,904312,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-03-31
184.92,187.12,183.68,186.9,610786,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-01
187.87,188.0,183.58,185.99,550023,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-05
185.2,186.6,184.73,186.5,565468,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-06
187.18,188.61,185.23,187.78,426409,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-07
186.33,187.84,185.55,185.65,404721,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-08
186.54,186.9,185.12,185.94,545750,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-09
186.37,187.35,184.85,187.12,495490,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-12
186.77,188.05,186.0,187.8,537757,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-13
187.5,188.66,186.13,186.26,397508,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-14
188.06,188.75,187.1,188.46,969701,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-15
189.65,190.1,188.16,189.81,696058,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-16
191.06,191.14,189.26,190.36,500098,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-19
190.13,192.97,190.13,192.68,737905,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-20
192.92,194.36,191.25,193.62,629989,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-21
194.15,195.27,192.33,192.4,929130,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-22
192.55,194.53,192.08,193.88,568703,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-23
194.99,195.55,194.19,194.77,619467,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-26
195.52,196.44,193.7,195.31,511566,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-27
195.23,195.29,191.35,191.35,1048394,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-28
192.32,196.21,189.83,191.51,701853,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-29
191.59,192.55,190.4,192.0,721247,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-04-30
193.12,193.53,191.21,191.65,563412,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-03
191.99,193.25,189.46,190.39,616507,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-04
189.63,191.01,186.61,187.96,744253,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-05
188.34,193.33,188.34,193.29,715162,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-06
192.59,195.69,192.59,195.53,756419,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-07
196.8,199.48,196.42,196.99,495244,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-10
196.0,197.04,194.56,196.18,636002,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-11
196.69,196.71,191.69,192.84,1004880,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-12
192.73,198.4,192.73,196.5,848686,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-13
196.49,198.93,196.49,197.96,998562,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-14
198.25,199.09,197.31,198.27,460383,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-17
197.86,199.81,197.08,199.0,935581,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-18
198.0,198.0,194.61,196.67,1266606,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-19
196.0,200.25,195.51,199.88,949345,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-20
200.52,202.0,199.56,200.41,798422,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-21
201.64,204.44,201.44,203.4,660569,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-24
203.55,204.87,202.61,204.4,804926,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-25
204.19,205.98,203.16,204.87,726265,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-26
205.67,205.79,203.5,204.07,1014557,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-27
204.85,207.39,204.02,206.94,866326,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-05-28
207.58,210.76,206.6,210.68,690247,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-01
212.03,213.67,210.52,212.75,948745,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-02
213.37,213.46,211.92,213.1,799366,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-03
212.76,213.12,210.85,211.75,640333,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-04
212.3,214.22,211.47,212.14,792786,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-07
211.79,213.81,210.82,211.03,1091401,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-08
211.9,212.42,210.3,210.76,1442664,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-09
210.72,216.64,209.62,214.66,1886706,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-10
214.46,215.12,212.8,214.64,1045153,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-11
213.07,214.21,212.41,214.21,579755,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-14
213.71,213.71,210.38,210.97,574974,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-15
210.98,212.44,209.54,209.69,1097870,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-16
209.74,210.49,207.9,210.02,711686,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-17
210.0,210.83,205.91,206.1,2051022,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-18
207.26,212.87,206.61,212.1,803836,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-21
212.18,212.33,210.19,211.58,795227,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-22
211.94,213.23,210.52,212.71,1112448,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-23
212.71,213.23,210.7,212.03,784127,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-24
211.81,214.02,211.56,213.94,840315,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-25
214.12,214.12,210.87,212.38,694522,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-28
210.26,212.57,210.01,210.31,892012,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-29
210.02,211.81,207.93,208.69,933858,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-06-30
209.04,212.33,208.15,210.51,676243,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-01
210.9,212.7,210.9,211.33,472041,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-02
211.24,213.9,209.41,213.55,686620,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-06
213.73,216.25,212.35,215.73,696700,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-07
214.44,217.71,213.8,217.27,603840,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-08
218.92,221.08,217.33,220.83,661201,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-09
220.83,224.41,220.37,223.97,653456,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-12
223.51,223.7,220.36,221.22,351220,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-13
222.0,224.31,221.54,224.07,349349,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-14
223.33,225.3,223.1,224.93,624849,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-15
226.24,227.16,225.17,225.87,634076,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-16
223.2,225.24,221.15,223.17,709916,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-19
224.44,229.45,223.97,228.74,607666,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-20
229.19,230.6,227.91,228.18,612465,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-21
227.04,227.12,224.03,224.45,942756,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-22
224.46,226.95,224.18,226.8,806943,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-23
226.16,227.81,225.26,226.2,336933,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-26
226.2,229.47,224.95,228.28,463589,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-27
228.34,229.5,227.09,227.45,614548,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-28
227.55,232.25,227.55,229.92,416405,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-29
230.99,232.72,227.75,227.83,784051,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-07-30
229.71,231.89,227.5,228.81,588610,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-02
229.22,229.24,226.28,228.9,344079,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-03
229.0,229.67,227.11,227.88,405021,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-04
229.45,230.11,226.77,229.19,324456,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-05
230.0,230.0,227.63,228.92,299207,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-06
228.63,228.66,226.35,227.54,414383,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-09
227.53,227.61,222.73,222.78,705408,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-10
223.99,224.46,221.56,222.2,641098,0.0,0.0,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2021-08-11
