Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
36.96,37.0,35.76,36.3,15508960,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-10-26
36.52,36.52,35.92,35.96,9619960,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-10-27
35.4,35.49,34.55,34.72,22331440,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-10-28
34.73,35.94,34.54,35.5,15697350,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-10-29
34.94,35.3,34.44,34.96,18530260,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-10-30
35.5,35.54,34.83,35.12,11756540,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-02
35.6,35.92,34.67,35.38,15457000,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-03
36.05,36.9,35.71,36.46,21276610,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-04
37.24,38.26,37.2,38.09,21783420,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-05
38.01,38.37,37.72,38.06,13546490,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-06
38.91,39.39,37.5,37.55,24088380,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-09
37.03,37.32,36.04,36.31,26784170,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-10
37.09,37.71,36.85,37.59,15134180,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-11
37.72,37.86,36.83,37.02,12174650,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-12
37.5,37.73,37.16,37.35,10996880,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-13
37.48,38.14,37.4,38.08,12102690,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-16
37.87,38.24,37.7,38.06,11950920,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-17
37.99,38.49,37.96,38.06,13518540,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-18
37.77,38.48,37.44,38.43,14555370,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-19
38.43,38.88,38.27,38.33,16148360,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-20
38.54,38.92,38.3,38.7,12216040,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-23
38.86,39.28,38.62,39.22,13458350,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-24
39.28,39.55,38.9,39.08,11788490,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-25
39.32,39.92,39.3,39.49,6846330,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-27
39.4,40.22,39.27,40.16,15453890,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-11-30
40.35,40.67,40.01,40.46,18181540,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-01
40.47,40.54,40.11,40.37,10033650,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-02
40.45,40.66,39.81,39.98,16122110,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-03
40.24,41.24,40.24,41.17,20082710,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-04
41.64,42.28,41.33,42.09,19707490,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-07
41.93,42.67,41.82,42.34,18120800,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-08
41.95,42.61,41.37,41.62,20908460,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-09
41.14,41.52,40.8,41.0,26242850,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-10
40.4,40.7,39.83,40.58,26665100,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-11
40.65,41.43,40.6,41.18,26116110,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-14
41.53,41.94,41.3,41.81,21221330,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-15
41.8,42.71,41.7,42.49,23159540,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-16
42.65,43.0,42.45,42.61,17151760,0.0,0.0,AVGO,Broadcom,Information Technology,Semiconductors,2020-12-17
