Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
154.3,155.02,152.0,154.01,691246,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-10-26
154.36,156.18,153.67,154.62,627497,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-10-27
152.76,155.6,152.51,153.0,883927,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-10-28
152.92,153.96,150.15,152.16,549245,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-10-29
151.3,152.34,149.23,150.51,842945,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-10-30
152.0,155.07,151.64,154.3,744125,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-02
156.06,159.41,155.49,157.1,751001,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-03
158.26,160.56,155.24,155.41,737644,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-04
160.0,162.84,155.5,158.21,787209,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-05
158.85,161.94,157.8,161.13,760524,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-06
171.99,172.56,161.93,162.33,1394345,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-09
162.21,164.59,161.63,163.51,1037160,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-10
164.49,165.7,163.18,164.37,980165,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-11
164.22,164.71,160.11,161.41,886907,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-12
161.92,162.9,160.64,161.31,651017,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-13
162.97,165.63,161.01,165.55,922007,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-16
163.93,164.56,158.88,159.29,1101848,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-17
160.67,160.71,155.97,156.19,868683,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-18
156.88,157.2,154.54,156.65,927117,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-19
155.78,160.11,155.78,157.71,1033219,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-20
157.77,158.14,154.76,155.22,642907,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-23
156.53,156.88,152.88,153.2,1021937,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-24
153.98,154.96,151.11,153.13,1132477,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-25
152.81,154.18,151.71,153.73,503980,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-27
154.0,154.81,152.14,153.38,1078351,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-11-30
154.58,156.41,154.04,154.3,812913,0.0,0.0,AWK,American Water Works,Utilities,Water Utilities,2020-12-01
