Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
105.39,105.82,103.75,104.63,1110889,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-10-26
105.11,106.66,105.11,106.04,1126118,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-10-27
104.42,105.37,101.58,101.66,1197413,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-10-28
102.27,103.06,100.77,102.02,1436430,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-10-29
101.77,102.35,100.65,102.09,2318821,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-10-30
103.52,105.35,103.29,105.24,1585993,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-02
106.43,108.11,106.14,107.03,1192274,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-03
108.07,109.8,107.24,108.49,1374238,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-04
110.57,111.93,109.67,110.34,1160953,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-05
110.76,113.35,110.32,112.54,1046969,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-06
116.16,117.5,112.39,112.5,2208695,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-09
112.82,112.91,108.99,110.2,2139319,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-10
111.14,111.79,108.84,109.41,1804666,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-11
109.4,111.01,108.9,109.44,1108911,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-12
110.46,111.54,109.78,110.17,1366698,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-13
111.0,111.49,109.47,110.27,1677107,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-16
110.5,110.77,109.24,109.86,1589456,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-17
109.55,109.88,105.73,105.95,2062584,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-18
106.74,108.96,105.19,108.68,1918933,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-19
108.64,112.3,108.32,110.89,2829728,0.0,0.0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2020-11-20
