Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
239.29,242.88,238.57,242.0,986405,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-10-26
242.96,245.87,242.41,244.24,1014755,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-10-27
240.1,241.36,235.36,235.89,1069438,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-10-28
235.84,236.75,230.87,232.47,1086547,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-10-29
232.36,233.96,227.82,231.13,1423293,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-10-30
233.61,237.15,232.04,234.79,1047760,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-02
236.48,239.69,234.94,237.72,1141786,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-03
240.57,245.21,236.66,236.79,1486729,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-04
240.0,244.47,232.44,234.65,2191386,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-05
235.19,241.63,234.72,236.62,1355228,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-06
246.82,247.83,239.89,240.31,1970910,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-09
241.04,243.39,239.62,240.3,2185873,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-10
243.61,243.92,240.81,243.16,1570451,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-11
242.9,243.68,239.13,240.21,1322601,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-12
241.47,244.22,240.06,242.81,1888143,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-13
246.41,246.5,241.76,242.57,1605175,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-16
241.75,245.22,240.47,242.41,1154502,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-17
242.18,242.26,233.31,233.47,1883599,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-18
234.25,235.49,231.88,232.9,1454356,0.0,0.0,BDX,Becton Dickinson,Health Care,Health Care Equipment,2020-11-19
