Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
263.51,264.18,255.83,256.76,1240969,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-10-26
256.33,258.7,254.92,255.3,1105387,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-10-27
251.03,253.21,244.18,244.26,1647780,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-10-28
244.97,247.94,243.25,245.48,1223460,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-10-29
247.26,252.21,243.73,252.07,1413707,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-10-30
253.64,255.8,248.26,248.99,1469486,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-02
250.52,251.8,243.57,247.01,1449933,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-03
253.2,363.92,251.74,355.63,14591496,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-04
348.0,348.0,321.5,328.9,5070268,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-05
230.82,239.5,223.25,236.26,9252638,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-09
241.24,244.84,234.56,236.34,3224124,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-10
239.8,249.44,238.08,244.03,2332125,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-11
244.71,246.74,240.7,241.55,1576206,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-12
243.65,249.13,241.89,248.59,1695050,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-13
250.29,254.27,247.06,250.96,1589820,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-16
251.18,254.41,247.91,248.81,1356753,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-17
248.81,251.51,240.77,240.98,1829491,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-18
241.42,245.55,240.5,244.01,1222216,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-19
243.87,246.48,243.0,244.15,1334864,0.0,0.0,BIIB,Biogen,Health Care,Biotechnology,2020-11-20
