Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
14.06,14.06,13.7,13.9,4227367,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-10-26
13.83,14.21,13.62,14.17,5928596,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-10-27
13.78,14.02,13.62,13.7,10017902,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-10-28
13.5,14.36,13.36,14.35,9657518,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-10-29
14.26,14.79,14.18,14.77,10500916,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-10-30
15.0,15.93,14.8,15.71,10460471,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-02
15.98,16.16,15.59,15.88,8671892,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-03
15.74,16.05,15.24,15.66,7729495,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-04
15.59,15.99,15.55,15.73,6502555,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-05
15.52,15.94,15.36,15.57,7079793,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-06
17.41,18.44,16.92,17.67,14244611,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-09
17.7,18.22,17.07,17.6,10051344,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-10
17.85,17.9,17.17,17.56,5791139,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-11
17.22,17.51,16.95,17.25,7605369,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-12
17.51,17.94,17.38,17.87,4660557,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-13
18.67,19.09,18.18,18.79,8430860,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-16
18.44,19.4,18.32,19.26,11253322,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-17
19.36,19.36,18.57,18.58,8289953,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-18
18.39,18.58,18.01,18.31,9394829,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-19
18.16,18.27,17.98,18.21,7578412,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-20
18.49,19.39,18.33,19.26,8744546,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-23
20.0,20.42,19.7,20.26,9123463,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-24
19.81,19.9,19.49,19.78,8724136,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-25
19.73,19.85,19.6,19.78,2415200,0.0,0.0,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2020-11-27
