Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
37.17,37.37,36.34,36.73,4558118,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-10-26
36.31,36.49,35.51,35.56,4402411,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-10-27
34.88,35.09,34.01,34.08,8783311,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-10-28
33.95,34.6,33.19,34.32,6450643,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-10-29
34.16,34.38,33.64,34.36,5559437,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-10-30
35.02,35.28,34.52,35.1,5691297,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-02
35.83,36.33,35.61,35.99,6052810,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-03
35.13,35.65,34.39,34.7,7696372,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-04
34.89,35.93,34.86,35.6,6226738,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-05
35.75,35.85,34.92,35.07,4371056,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-06
38.44,40.06,38.41,39.16,9851247,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-09
39.17,39.52,38.43,39.22,6714305,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-10
39.7,39.7,38.23,38.6,6230780,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-11
38.13,38.39,37.33,37.73,4496437,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-12
38.2,38.96,38.04,38.71,3900208,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-13
39.77,39.94,39.22,39.71,4724797,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-16
39.03,39.69,38.84,39.44,3913616,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-17
39.65,40.21,38.72,38.74,7254942,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-18
37.86,38.6,37.76,38.49,4263565,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-19
37.73,38.1,37.52,37.88,6291372,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-20
38.33,38.83,38.12,38.55,4128410,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-23
39.2,40.84,39.15,40.69,6247836,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-24
40.45,40.65,39.83,40.37,5763916,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-25
40.8,40.8,39.86,39.95,2259197,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-27
40.02,40.06,38.94,39.12,6244500,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-11-30
39.8,40.1,39.34,39.46,6071354,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-01
39.45,40.15,39.29,39.99,4804244,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-02
40.02,40.28,39.61,40.12,5318769,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-03
40.24,40.8,40.24,40.65,5261642,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-04
40.28,40.57,39.87,40.34,4680186,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-07
40.03,40.85,40.01,40.78,4692699,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-08
41.04,41.5,40.7,40.79,5878890,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-09
40.36,41.5,40.28,41.36,6628812,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-10
40.73,40.9,40.14,40.24,6361866,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-11
40.83,40.98,39.8,39.83,4498727,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-14
40.37,40.51,39.72,40.19,4769296,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-15
40.29,40.67,40.1,40.45,4811438,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-16
40.59,40.69,40.16,40.41,4930927,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-17
40.33,40.91,40.23,40.79,10984564,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-18
41.53,42.14,40.4,41.42,7468036,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-21
41.35,41.36,40.25,40.28,4222630,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-22
40.54,41.32,40.43,40.98,3859972,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-23
41.15,41.2,40.62,41.04,1254770,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-24
41.34,41.89,41.07,41.44,3319786,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-28
41.58,41.68,41.21,41.44,3290693,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-29
41.48,41.87,41.39,41.69,2840727,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-30
41.69,42.49,41.58,42.44,2973476,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2020-12-31
42.5,42.64,41.23,41.69,5801484,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2021-01-04
41.69,42.42,41.34,42.16,4632205,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2021-01-05
43.52,45.42,43.43,45.01,8580940,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2021-01-06
45.59,46.04,45.24,45.28,5173278,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2021-01-07
45.35,45.46,44.43,44.8,3668719,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2021-01-08
44.43,45.57,44.1,45.56,4650498,0.0,0.0,BK,BNY Mellon,Financials,Asset Management & Custody Banks,2021-01-11
