Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
34.45,34.45,33.27,33.71,5245119,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-10-26
33.83,33.94,33.11,33.6,4059534,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-10-27
32.93,33.76,32.76,33.3,6541629,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-10-28
33.79,34.78,32.93,34.07,12051905,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-10-29
33.97,34.88,33.0,33.39,6781366,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-10-30
34.0,35.13,33.87,35.1,6567034,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-02
35.45,37.01,35.43,36.95,6784302,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-03
35.63,37.4,35.5,36.78,9107417,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-04
37.51,38.3,37.38,38.2,5837602,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-05
38.53,39.03,38.15,38.95,3533304,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-06
40.74,41.3,38.68,38.8,7317351,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-09
39.03,39.35,37.58,37.81,5641307,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-10
38.49,38.73,37.89,38.06,4673246,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-11
38.0,38.94,37.78,37.96,8238924,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-12
38.23,38.61,38.14,38.29,5559329,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-13
39.24,40.51,38.48,40.5,6213760,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-16
41.45,41.48,39.86,40.36,7027996,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-17
40.28,40.59,39.37,39.39,6078900,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-18
39.0,39.28,38.51,39.13,8607589,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-19
38.93,39.1,38.21,38.54,4462984,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-20
39.0,39.14,38.4,38.77,6280126,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-23
38.94,39.56,38.43,39.37,7077926,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-24
39.06,39.24,38.52,38.61,4323201,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-25
38.69,38.84,37.46,37.81,5923490,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-27
37.75,38.48,37.41,38.07,21247822,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-11-30
38.64,38.94,37.55,37.6,6670724,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-01
37.19,37.28,36.56,36.83,5632335,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-02
37.19,37.77,36.6,36.69,5486660,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-03
37.27,37.97,37.06,37.7,5597039,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-04
37.55,37.7,36.71,36.84,3895819,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-07
36.64,37.57,36.61,37.3,4074087,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-08
37.41,37.99,37.39,37.84,4187977,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-09
37.67,38.47,37.27,37.54,4153126,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-10
37.16,37.39,36.76,37.16,3149590,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-11
37.5,37.55,36.52,36.62,6346339,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-14
37.1,37.91,36.52,37.67,4878735,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-15
37.73,38.02,37.34,38.0,4022517,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-16
38.41,38.86,38.25,38.7,4136985,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-17
38.75,38.86,37.61,38.79,10323777,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-18
38.0,38.72,37.93,38.52,2907158,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-21
38.29,38.52,37.86,38.03,3352127,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-22
38.12,38.4,37.8,38.16,2390918,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-23
37.91,38.24,37.85,37.89,1395144,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-24
38.11,39.43,37.75,37.76,3238203,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-28
38.0,38.18,36.68,37.17,3773541,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-29
37.31,37.8,37.25,37.73,3075882,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-30
37.62,37.81,36.92,37.72,2113356,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2020-12-31
38.35,38.38,36.98,37.03,4769484,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-04
37.0,38.18,36.8,37.94,3743839,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-05
38.32,40.26,38.32,40.05,6263278,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-06
40.41,41.19,40.0,41.09,7836763,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-07
41.2,41.35,40.0,40.69,7041747,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-08
39.88,41.84,39.85,41.57,3831149,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-11
41.56,41.94,41.05,41.74,4495978,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-12
41.42,41.89,40.83,41.38,4013659,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-13
41.4,41.59,40.73,40.8,3782490,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-14
40.6,40.6,39.57,40.38,4852840,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-15
40.7,40.98,40.2,40.37,3432331,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-19
40.41,40.41,39.69,40.04,4703750,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-20
40.4,40.4,39.21,39.74,4748311,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-21
39.2,40.11,39.1,39.51,2637865,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-22
38.97,39.06,37.2,38.89,9297948,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-25
38.89,39.05,37.3,37.32,4980121,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-26
36.6,36.78,34.21,36.23,8236650,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-27
36.81,38.45,36.42,38.2,8170090,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-28
37.89,38.8,37.77,38.5,16392460,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-01-29
39.2,39.45,38.55,38.66,5090275,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-01
39.12,39.4,38.43,38.48,2939042,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-02
38.3,38.66,37.96,38.15,3040360,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-03
38.37,38.53,37.86,38.33,3515553,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-04
38.0,39.99,38.0,39.15,4476455,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-05
39.53,40.12,39.34,39.7,4624686,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-08
37.1,38.28,36.95,37.25,13091891,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-09
37.66,37.95,36.8,37.19,8033542,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-10
37.3,37.48,36.63,37.2,11147285,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-11
37.0,37.4,36.76,37.28,5542142,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-12
37.46,37.52,36.78,37.41,4264310,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-16
37.23,37.37,36.7,37.24,3908603,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-17
37.09,37.23,36.36,36.65,4037427,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-18
37.0,37.76,36.96,37.64,3371313,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-19
37.41,37.87,37.27,37.3,3065803,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-22
36.83,37.19,35.82,37.1,4393346,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-23
36.86,37.51,36.7,37.45,6005713,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-24
37.07,37.27,35.94,36.14,4491798,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-25
36.39,37.0,36.02,36.53,5417627,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-02-26
36.76,37.56,36.72,37.2,4220015,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-03-01
37.4,37.42,36.68,37.14,4488278,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-03-02
36.85,37.58,36.63,37.12,7153056,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-03-03
36.95,37.21,35.06,35.52,6899474,0.0,0.0,CARR,Carrier Global,Industrials,Building Products,2021-03-04
