Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
81.0,81.7,79.8,80.62,670150,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-10-26
80.47,81.98,80.26,81.3,730802,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-10-27
80.12,80.72,78.04,78.47,1001699,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-10-28
78.23,79.72,77.63,79.22,681964,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-10-29
80.0,83.17,79.81,81.29,1162270,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-10-30
82.0,84.88,82.0,83.37,828104,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-02
85.0,86.81,84.6,86.74,1033855,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-03
85.94,88.44,85.94,87.0,1048902,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-04
87.48,88.16,82.5,83.05,1065014,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-05
83.3,85.04,82.55,84.65,638635,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-06
87.7,89.66,86.76,87.2,1024778,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-09
87.1,87.98,85.4,86.04,891492,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-10
86.52,88.25,85.27,88.07,770672,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-11
87.65,87.96,85.16,86.18,454920,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-12
87.13,87.97,86.7,87.65,460084,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-13
88.33,89.54,87.25,88.23,632801,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-16
87.92,87.92,86.47,86.8,536302,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-17
87.2,88.79,86.53,88.66,697041,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-18
88.9,90.85,87.46,89.91,730045,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-19
89.62,90.73,88.7,89.94,892147,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-20
90.09,92.59,89.54,92.59,772252,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-23
92.74,94.52,91.14,92.02,1461185,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-24
91.54,91.94,89.47,91.81,918582,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-25
91.8,92.68,91.17,91.71,453798,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-27
91.62,91.74,88.91,91.32,993188,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-11-30
91.71,93.45,91.36,93.45,847753,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-01
92.79,93.76,92.21,93.73,860269,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-02
93.43,93.56,91.1,93.19,866281,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-03
93.21,94.0,91.77,93.16,1035400,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-04
92.3,93.77,92.08,93.52,541312,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-07
92.91,93.33,91.36,91.36,646307,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-08
91.78,92.36,87.89,88.88,1109575,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-09
87.93,89.06,86.62,86.94,891896,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-10
86.27,86.9,84.65,85.97,990644,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-11
86.45,88.99,85.72,88.25,872042,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-14
88.81,91.12,88.3,90.78,870233,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-15
91.36,91.85,90.02,90.43,537105,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-16
90.73,92.11,89.15,89.54,872719,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-17
89.89,91.16,88.72,90.78,1957911,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-18
90.16,90.62,89.08,90.26,654403,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-21
90.37,91.11,89.96,90.71,535047,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-22
91.28,91.8,91.06,91.1,500466,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-23
90.95,92.11,90.92,92.05,201131,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-24
92.17,93.75,92.07,93.3,460119,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-28
93.71,93.95,91.17,91.66,515940,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-29
91.97,92.9,91.66,92.62,417147,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-30
92.08,93.13,91.04,93.12,547735,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2020-12-31
92.89,94.04,92.53,92.61,717678,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-04
93.16,93.8,92.04,92.55,603304,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-05
93.6,95.47,92.35,95.47,919978,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-06
95.41,96.95,95.32,96.79,696302,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-07
96.79,99.16,96.72,98.81,711379,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-08
98.71,99.97,97.06,99.8,748306,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-11
100.0,101.6,99.55,101.02,721650,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-12
100.82,101.51,97.2,97.38,1129200,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-13
97.63,97.69,94.74,95.78,883105,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-14
96.13,96.72,95.36,96.61,579113,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-15
96.8,98.57,96.48,97.45,690344,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-19
97.39,98.43,97.22,97.5,729930,0.0,0.0,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2021-01-20
