Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
127.04,127.67,124.87,125.99,1342129,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-10-26
125.93,126.52,123.31,123.41,1532285,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-10-27
129.11,129.6,125.56,127.42,4284030,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-10-28
128.57,134.73,126.56,132.75,3982266,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-10-29
131.68,133.5,128.52,129.91,3575662,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-10-30
132.27,134.66,130.26,134.62,2735480,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-02
135.7,138.55,135.07,135.28,3123853,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-03
132.13,136.2,131.1,132.95,1819798,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-04
133.33,138.5,133.01,136.73,1714391,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-05
137.38,138.63,136.77,137.69,1743419,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-06
149.66,150.61,142.29,146.98,4154813,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-09
147.83,151.99,147.34,151.5,3067883,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-10
151.35,151.44,147.32,149.03,1621758,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-11
147.87,147.87,144.44,146.18,1888830,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-12
148.39,149.33,146.73,149.26,1601764,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-13
152.38,153.27,149.93,151.36,1459295,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-16
150.67,150.94,148.22,150.03,1695321,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-17
150.11,151.41,148.47,149.28,1609683,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-18
147.93,148.77,145.93,147.37,2152164,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-19
147.39,149.39,145.88,148.88,2107656,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-20
149.88,150.3,147.77,149.03,1461329,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-23
154.11,154.97,151.12,154.75,2407630,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-24
152.74,153.1,150.76,152.53,1708435,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-25
152.2,153.29,150.96,151.42,906412,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-27
149.61,150.77,147.08,147.83,6001500,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-11-30
151.44,153.17,149.33,152.63,2219168,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-12-01
151.62,153.3,150.79,153.18,2094550,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-12-02
152.73,154.14,151.84,153.99,2021087,0.0,0.0,CB,Chubb Limited,Financials,Property & Casualty Insurance,2020-12-03
