Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
110.31,112.22,108.11,109.88,1008073,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-10-26
110.96,112.2,109.68,109.84,908374,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-10-27
108.05,109.39,105.93,107.64,2006342,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-10-28
107.64,111.51,107.58,110.21,1357004,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-10-29
108.65,110.74,108.13,109.37,2316611,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-10-30
109.95,112.32,109.54,110.51,1645586,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-02
111.55,114.16,111.09,113.59,1477636,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-03
117.67,121.4,115.8,120.99,2250676,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-04
123.79,124.68,122.36,124.07,2016252,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-05
125.04,126.27,122.25,125.5,1457637,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-06
126.46,127.5,118.44,118.57,2405691,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-09
115.94,116.38,111.4,112.39,2097308,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-10
114.63,117.82,114.63,116.68,1431767,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-11
117.14,118.14,114.04,114.56,1554381,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-12
115.62,116.53,114.74,115.82,859584,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-13
115.0,116.37,113.95,114.86,1159945,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-16
115.0,115.16,113.27,113.48,1207735,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-17
113.25,113.44,110.84,111.03,1467580,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-18
111.67,113.12,110.44,112.6,2076482,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-19
113.05,114.88,112.58,112.79,1418835,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-20
113.5,113.98,109.65,111.25,1081672,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-23
111.3,111.54,109.2,110.74,1626180,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-24
112.07,113.27,111.41,113.04,1238748,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-25
113.67,116.89,113.67,116.58,927416,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-27
117.22,117.34,114.66,116.3,2304137,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-11-30
116.88,117.07,114.59,115.65,2127610,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-01
114.95,116.79,113.84,116.43,1174166,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-02
115.72,118.58,115.3,116.68,1422084,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-03
116.7,119.21,116.61,118.34,1160315,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-04
118.89,120.16,118.52,119.02,1025362,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-07
119.33,119.41,117.3,118.41,1400714,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-08
121.78,121.78,114.82,115.49,1483791,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-09
114.69,117.95,113.8,117.45,1078677,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-10
117.23,118.83,116.66,118.52,1004122,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-11
118.41,122.02,118.41,121.31,1357239,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-14
122.1,124.22,122.08,122.82,1835632,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-15
123.86,125.97,123.79,125.4,1633953,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-16
126.31,127.37,125.14,127.3,1589621,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-17
127.38,132.26,126.58,132.02,3647880,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-18
130.9,131.9,128.1,131.73,1564336,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-21
132.21,134.91,131.43,134.37,1491967,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-22
134.86,135.99,132.72,133.06,1171620,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-23
133.49,134.62,132.63,134.0,377249,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-24
135.85,136.0,133.53,134.76,863242,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-28
135.13,135.75,133.29,133.98,996915,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-29
134.71,136.06,134.07,135.25,944508,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-30
135.42,136.84,135.3,136.43,773703,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2020-12-31
136.89,138.31,133.51,135.76,2501961,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-04
136.74,137.33,135.0,136.14,1634282,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-05
132.34,133.41,129.91,130.64,2299316,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-06
132.14,137.49,131.74,137.05,1639860,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-07
136.94,138.54,134.1,136.19,2049699,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-08
133.89,136.31,132.83,134.69,2332802,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-11
135.05,135.05,132.63,133.72,1338573,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-12
134.06,135.17,132.16,134.12,1155337,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-13
134.38,136.02,133.82,135.4,1490773,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-14
134.41,136.15,132.93,134.64,1126778,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-15
135.83,137.98,134.85,137.62,947628,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-19
138.29,142.11,138.29,140.1,1433062,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-20
140.95,141.25,138.2,138.62,1196485,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-21
139.08,140.4,137.04,137.42,1402463,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-22
138.81,139.4,134.31,135.9,1229596,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-25
135.77,135.97,133.53,133.83,960775,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-26
132.0,133.96,127.56,128.43,2085374,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-27
129.79,135.07,129.55,132.95,1549422,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-28
132.51,133.15,130.04,130.39,1859465,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-01-29
131.98,134.98,130.98,134.4,1430079,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-02-01
135.33,136.46,134.82,135.72,1442158,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-02-02
136.0,136.32,134.07,134.82,1538969,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-02-03
135.22,137.25,134.87,137.1,1332288,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-02-04
137.57,138.94,135.52,135.8,1802562,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-02-05
137.17,138.43,136.66,137.58,1248423,0.0,0.0,CDNS,Cadence Design Systems,Information Technology,Application Software,2021-02-08
