Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
128.27,129.61,124.22,125.67,426470,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-10-26
125.35,126.2,123.12,123.28,620061,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-10-27
120.33,120.75,118.31,118.73,706867,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-10-28
117.28,122.09,117.02,120.95,733060,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-10-29
119.94,123.2,118.61,122.6,1147024,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-10-30
125.17,129.46,123.22,126.45,1247647,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-02
130.05,131.81,127.66,130.72,676921,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-03
132.15,135.95,130.09,133.85,993776,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-04
135.22,139.75,135.11,138.18,1322187,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-05
138.3,139.49,137.11,138.05,676298,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-06
141.09,146.95,141.09,143.95,1568912,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-09
141.33,144.22,136.87,137.53,1310312,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-10
138.32,139.34,136.87,138.7,582342,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-11
138.46,139.23,135.26,135.56,456458,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-12
136.99,138.43,136.82,137.59,1199473,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-13
139.31,140.82,138.57,139.08,677911,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-16
137.61,138.96,136.33,136.78,711413,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-17
137.1,138.11,135.67,135.73,1480993,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-18
134.74,135.07,131.05,132.78,1418938,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-19
132.45,133.6,131.92,131.95,783704,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-20
132.26,132.69,130.23,131.22,1103111,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-23
131.85,137.67,131.66,136.82,1970328,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-24
136.24,136.34,131.33,131.94,786789,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-25
132.11,132.42,131.08,132.23,357083,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-27
131.5,131.5,129.06,130.49,1082054,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-11-30
131.93,133.1,131.03,132.02,985769,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-01
131.97,132.28,130.61,131.21,587038,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-02
130.81,132.95,130.74,131.25,610855,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-03
131.55,134.38,131.35,133.5,925359,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-04
133.25,134.75,132.0,132.94,742443,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-07
133.6,134.32,132.32,132.94,1203374,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-08
133.0,133.46,131.11,131.95,687842,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-09
131.5,132.37,130.9,131.71,542639,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-10
130.72,131.61,128.82,130.7,689126,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-11
131.57,134.11,130.75,131.73,937023,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-14
132.19,133.26,131.76,132.83,650051,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-15
132.71,133.18,131.77,132.26,570052,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-16
128.91,135.38,128.91,135.24,885874,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-17
135.85,136.63,133.27,134.37,2098286,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-18
131.75,132.13,129.3,130.99,1153790,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-21
131.35,131.65,129.47,130.75,1207149,0.0,0.0,CDW,CDW Corporation,Information Technology,Technology Distributors,2020-12-22
