Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
91.26,92.01,90.77,91.91,771017,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-10-26
92.26,93.22,91.71,92.23,1342821,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-10-27
91.21,91.81,88.2,88.24,1985096,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-10-28
84.0,87.9,82.52,87.06,2981239,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-10-29
87.18,88.96,86.62,88.39,1977266,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-10-30
89.86,90.64,87.15,87.9,2521294,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-02
88.56,89.93,88.23,89.0,1623168,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-03
90.05,90.97,89.53,89.77,1396258,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-04
91.08,91.6,89.24,90.03,1516301,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-05
90.04,91.38,89.97,90.5,1051765,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-06
91.66,91.86,84.78,84.83,2968085,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-09
84.57,86.98,84.24,86.32,2382155,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-10
87.3,88.2,86.91,87.41,3906675,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-11
88.09,88.83,86.63,87.5,2705547,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-12
87.42,87.96,86.48,87.38,1472350,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-13
87.21,88.03,86.06,87.97,1172903,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-16
87.47,88.28,87.0,87.21,1366491,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-17
87.25,87.63,85.99,86.0,1945502,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-18
85.91,87.32,85.83,86.2,1131360,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-19
86.48,87.18,85.62,85.96,1217957,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-20
85.62,86.35,84.77,85.27,1057368,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-23
85.43,85.92,83.43,83.65,2615298,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-24
84.31,86.1,84.16,85.58,1466281,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-25
85.93,86.33,85.12,86.27,747876,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-27
86.21,87.84,85.56,87.77,2821652,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-11-30
88.37,88.46,86.61,87.84,2409270,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-12-01
87.77,87.94,85.08,86.26,1331179,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-12-02
85.95,86.91,85.58,86.59,1172852,0.0,0.0,CHD,Church & Dwight,Consumer Staples,Household Products,2020-12-03
