Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
100.32,100.43,98.09,99.59,1543958,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-10-26
99.41,101.61,99.26,100.03,1626531,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-10-27
94.43,95.03,88.35,88.58,4192738,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-10-28
88.01,91.37,88.0,90.08,2031656,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-10-29
89.62,90.0,86.8,88.43,2411403,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-10-30
89.97,90.04,86.78,87.34,1800183,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-02
88.5,89.6,87.53,89.22,1352306,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-03
89.13,90.76,88.01,88.11,1173363,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-04
89.68,89.93,87.97,88.8,1399196,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-05
88.84,90.97,88.03,90.62,1362120,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-06
95.23,95.99,91.48,93.92,2417473,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-09
93.45,94.72,92.5,93.89,1404108,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-10
93.8,94.54,91.99,93.33,1170394,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-11
93.46,93.67,89.81,90.54,1359233,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-12
91.19,92.62,91.18,91.97,836654,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-13
93.15,93.99,91.67,92.92,968175,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-16
92.81,93.96,91.3,93.55,881496,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-17
93.22,93.97,92.24,92.88,2039504,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-18
92.4,94.02,91.37,93.77,1207584,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-19
94.69,94.86,91.97,92.59,1271990,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-20
92.4,93.52,91.18,92.17,1211263,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-23
92.87,95.06,92.17,94.42,1151263,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-24
94.01,94.2,92.79,93.03,1021272,0.0,0.0,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2020-11-25
