Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
77.14,77.4,76.16,76.81,1070609,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-10-26
77.54,79.38,73.6,73.85,1209427,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-10-27
74.63,74.63,70.69,71.17,1207782,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-10-28
71.12,73.12,70.13,71.65,840999,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-10-29
71.06,72.26,69.92,70.74,1306635,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-10-30
72.33,72.63,71.2,72.22,590539,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-02
73.86,74.94,73.29,73.69,666413,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-03
71.87,73.72,71.21,72.29,775766,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-04
72.22,75.3,72.01,74.55,476651,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-05
74.84,75.09,73.7,74.25,420268,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-06
81.88,87.9,81.63,85.73,1371936,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-09
85.25,87.1,84.67,86.64,994299,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-10
87.29,87.36,83.37,84.52,820294,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-11
84.04,84.2,82.18,82.99,577502,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-12
83.8,84.93,77.37,78.78,2530838,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-13
80.98,81.55,79.2,79.84,1315108,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-16
79.01,80.2,76.69,79.7,940188,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-17
79.7,81.21,79.16,79.5,573981,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-18
78.87,78.87,76.82,78.35,828966,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-19
78.31,78.88,77.12,77.4,825149,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-20
78.09,78.5,77.17,77.63,695079,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-23
79.27,80.47,78.01,79.56,861579,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-24
78.66,79.1,77.35,78.53,537710,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-25
78.29,79.41,77.31,77.81,370486,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-27
77.07,78.26,75.5,76.35,3184249,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-11-30
77.89,80.47,77.08,80.0,1108475,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-12-01
79.6,80.68,78.26,79.93,858923,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-12-02
79.64,81.74,79.26,81.7,860441,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-12-03
81.89,83.39,81.74,82.96,886455,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-12-04
81.98,82.22,79.79,80.18,520708,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-12-07
79.89,81.64,79.41,81.26,410019,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-12-08
82.37,82.58,80.62,81.33,494427,0.0,0.0,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,2020-12-09
