Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
210.81,214.36,209.72,212.73,1124543,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-10-26
214.67,217.63,214.02,214.18,1340642,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-10-27
213.29,215.24,209.54,209.88,1132099,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-10-28
210.33,212.22,207.55,208.73,1235789,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-10-29
207.59,211.54,204.88,207.25,2266818,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-10-30
215.0,221.84,212.24,216.03,4099065,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-02
215.99,217.5,210.69,212.25,1933247,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-03
214.0,218.18,212.7,212.94,1571439,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-04
215.52,216.18,212.98,212.98,1095731,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-05
212.46,218.14,212.46,218.08,1094434,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-06
203.44,209.0,193.26,194.91,5016138,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-09
197.0,202.2,192.9,198.12,2450872,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-10
199.27,203.5,197.66,202.59,1824080,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-11
204.62,207.62,203.01,207.53,1840209,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-12
207.9,208.89,206.26,207.38,1559879,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-13
203.0,207.88,202.0,207.67,1623419,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-16
207.0,209.48,205.66,209.1,1451127,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-17
208.77,210.25,204.9,204.98,1932511,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-18
203.69,206.65,201.0,202.47,1584113,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-19
202.84,204.79,202.72,203.05,1576006,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-20
202.12,203.23,201.09,202.31,1583682,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-23
202.31,203.14,199.43,199.54,1634158,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-24
201.63,202.57,200.0,200.75,1314266,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-25
201.4,203.35,201.25,203.09,699233,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-27
202.32,203.35,199.97,202.96,2242114,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-11-30
202.37,203.3,200.6,203.21,1551381,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-12-01
202.79,204.0,199.53,201.71,1460249,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-12-02
200.48,203.37,199.78,201.23,2014932,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-12-03
200.0,201.7,198.68,199.98,2082741,0.0,0.0,CLX,Clorox,Consumer Staples,Household Products,2020-12-04
