Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
78.86,79.22,78.12,78.69,3921744,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-10-26
79.22,79.64,78.79,78.85,2866002,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-10-27
77.42,78.18,76.7,76.86,4820696,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-10-28
76.54,77.44,75.56,76.67,3985042,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-10-29
79.94,81.09,77.68,78.89,7450865,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-10-30
80.18,81.02,79.51,80.16,4324182,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-02
80.88,83.42,80.83,83.11,5367727,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-03
83.35,85.64,83.09,83.86,5770455,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-04
84.75,84.75,82.98,83.01,3971195,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-05
83.08,83.55,82.45,83.03,3545376,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-06
83.8,84.57,81.54,81.78,6761763,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-09
81.89,83.76,81.39,83.35,4565315,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-10
84.0,85.24,83.44,84.93,3984886,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-11
85.0,85.12,84.2,84.73,3745831,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-12
84.78,85.41,84.69,85.36,3808011,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-13
85.38,85.94,85.21,85.93,3808174,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-16
85.39,86.06,85.28,85.35,3460564,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-17
85.64,85.94,84.6,84.61,4208304,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-18
84.99,85.64,84.7,85.38,4477801,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-19
85.52,86.41,85.12,85.16,3877188,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-20
85.23,85.23,83.97,84.54,3082221,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-23
84.95,85.65,84.12,84.71,4273536,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-24
85.14,85.47,84.44,84.75,3195303,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-25
84.95,85.06,84.3,84.9,2188268,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-27
84.99,85.66,84.2,85.64,4404768,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-11-30
85.76,86.34,85.38,86.26,3411903,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-01
86.07,86.38,85.25,85.74,2790741,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-02
85.52,85.73,84.41,85.19,3892218,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-03
85.24,85.68,84.42,85.03,3194853,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-04
84.8,85.86,84.75,85.39,2998069,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-07
84.47,85.44,84.19,85.17,2729783,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-08
85.16,85.34,84.39,84.75,2624016,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-09
84.89,85.35,84.39,84.59,2901286,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-10
84.16,85.09,84.15,84.68,2654327,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-11
85.08,85.45,84.14,84.19,2726374,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-14
84.51,85.07,84.21,84.75,2595572,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-15
85.14,85.76,84.64,85.04,2892807,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-16
85.5,86.05,85.34,85.66,3150100,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-17
85.66,86.2,84.96,85.93,6717572,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-18
85.05,85.49,84.37,85.31,2815153,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-21
85.2,85.42,84.27,84.4,2374401,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-22
84.59,84.96,84.2,84.43,2747415,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-23
84.62,85.1,84.49,85.04,733187,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-24
85.28,85.68,84.98,85.41,1260519,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-28
85.83,86.21,84.92,85.03,2426425,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-29
85.18,85.34,84.55,84.73,2180244,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-30
84.96,85.6,84.53,85.51,1911995,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2020-12-31
84.78,85.56,83.53,84.33,3624115,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-04
84.33,84.82,83.37,84.52,2594492,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-05
84.16,84.79,81.87,82.25,9083758,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-06
81.91,82.55,81.14,81.8,5129211,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-07
82.09,82.61,81.82,82.35,5624651,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-08
82.35,83.06,82.1,82.14,4481823,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-11
81.88,82.75,81.85,82.26,4404995,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-12
82.25,82.93,82.25,82.49,4129558,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-13
82.77,82.78,81.62,81.94,3771051,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-14
81.94,82.44,81.69,81.88,6680596,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-15
82.55,82.55,80.74,80.85,4084705,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-19
79.5,80.45,78.9,80.2,7012986,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-20
80.18,80.43,78.76,79.28,5851266,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-21
78.78,78.92,77.9,78.19,4895154,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-22
78.21,79.1,78.15,78.61,7873735,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-25
78.87,79.09,77.93,78.75,5865521,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-26
78.55,78.99,77.84,78.03,6363504,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-27
78.04,79.83,78.03,79.15,8121466,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-28
78.91,80.2,77.84,78.0,7525741,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-01-29
78.64,79.7,78.32,78.52,6600493,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-01
78.85,79.75,78.56,78.85,5075818,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-02
79.0,79.41,78.53,78.88,3934950,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-03
78.77,79.28,78.45,78.93,3921651,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-04
79.16,80.07,79.11,79.87,3633673,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-05
80.0,80.13,79.27,79.7,3893985,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-08
79.64,79.66,78.36,78.7,3731042,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-09
79.0,79.47,78.26,79.11,4925648,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-10
79.25,79.3,78.34,78.41,3159353,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-11
78.33,78.5,77.78,78.43,2787466,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-12
78.05,78.22,77.06,78.19,5275967,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-16
77.9,78.92,77.86,78.44,3399139,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-17
78.34,78.86,78.09,78.72,2624123,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-18
78.62,78.75,77.1,77.2,4693992,0.0,0.0,CL,Colgate-Palmolive,Consumer Staples,Household Products,2021-02-19
