Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
21.85,22.19,21.76,22.13,4753967,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-10-26
22.22,22.46,22.1,22.33,5219405,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-10-27
21.78,22.27,21.25,21.3,4844532,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-10-28
21.21,21.67,20.89,21.48,4539904,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-10-29
21.49,21.55,21.0,21.13,4973986,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-10-30
21.42,21.56,21.06,21.47,5110017,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-02
21.79,22.18,21.67,21.79,4012694,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-03
21.76,22.2,21.49,21.56,4058921,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-04
21.85,23.17,21.85,22.67,6340867,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-05
22.71,22.9,22.45,22.86,4521050,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-06
24.0,24.4,23.48,23.73,9222447,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-09
23.9,24.14,23.76,24.1,4786028,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-10
24.12,24.58,23.97,24.07,5058090,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-11
23.87,23.87,23.11,23.44,4028871,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-12
23.59,24.26,23.54,24.25,4825957,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-13
24.62,25.11,24.6,25.09,8842890,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-16
24.72,25.39,24.62,25.17,8951922,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-17
25.15,25.17,23.74,23.75,6176450,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-18
23.61,23.78,23.14,23.43,6281751,0.0,0.0,CNP,CenterPoint Energy,Utilities,Multi-Utilities,2020-11-19
