Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
76.63,76.76,74.19,74.95,5138698,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-10-26
74.77,74.99,73.69,74.06,3045556,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-10-27
71.79,73.6,71.52,72.07,3724505,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-10-28
71.48,73.62,70.78,73.12,2573955,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-10-29
72.64,73.2,71.27,73.08,2119503,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-10-30
74.65,76.22,74.01,75.68,2629852,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-02
77.28,78.83,76.83,77.57,2683568,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-03
75.99,77.79,73.05,75.55,3236391,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-04
76.45,79.21,76.2,78.7,2321258,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-05
79.07,79.79,77.11,77.77,2597694,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-06
84.78,90.3,84.78,86.95,5850615,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-09
87.26,88.61,85.77,86.68,2667763,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-10
87.09,87.46,83.72,84.67,2734485,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-11
83.27,84.58,82.53,83.58,2151800,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-12
84.38,87.27,84.38,86.7,2293344,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-13
89.99,90.61,87.62,88.61,2096782,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-16
87.1,88.61,85.49,87.76,1852744,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-17
88.23,89.38,85.54,85.61,2699394,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-18
84.74,85.38,83.67,84.99,4650305,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-19
84.43,85.07,83.03,83.58,3529172,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-20
85.16,87.76,84.68,87.28,2253092,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-23
89.54,92.08,88.76,91.36,3271501,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-24
90.03,90.25,87.66,89.9,3314920,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-25
89.18,89.58,87.58,87.76,2139497,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-27
89.66,89.95,85.16,85.64,4458724,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-11-30
88.0,90.87,87.82,89.7,2775595,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-01
88.4,91.92,88.22,91.39,2882365,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-02
91.3,92.28,90.48,91.28,2153224,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-03
92.03,93.15,90.87,92.24,2219692,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-04
93.0,93.2,91.01,92.97,2801333,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-07
91.4,93.22,91.36,92.64,2913484,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-08
92.93,95.36,92.76,94.92,4622474,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-09
93.33,95.29,92.1,94.67,2969851,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-10
92.87,93.34,91.07,92.17,3070556,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-11
93.46,93.95,90.26,90.42,3859470,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-14
91.66,92.69,89.72,92.68,2266359,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-15
93.21,94.03,91.72,93.59,2257159,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-16
93.87,94.32,93.05,94.08,1845737,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-17
93.96,93.96,91.05,91.57,4669242,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-18
93.6,96.62,92.21,95.29,4858582,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-21
95.44,96.14,94.97,94.99,2994499,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-22
95.98,97.83,95.75,96.82,1787314,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-23
96.99,97.42,95.79,97.3,960160,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-24
97.82,99.12,97.44,97.55,2159505,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-28
97.56,97.76,95.46,96.18,1922304,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-29
96.5,97.98,95.97,97.88,1419543,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-30
98.0,99.16,97.06,98.85,1301214,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2020-12-31
99.73,99.99,96.98,97.84,3476774,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-04
97.79,100.58,97.79,100.14,2186117,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-05
103.0,107.65,102.56,107.38,4472938,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-06
108.65,111.54,108.0,110.73,4851596,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-07
111.0,111.78,108.64,110.56,3032052,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-08
108.23,109.95,107.0,109.31,3350590,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-11
110.26,111.7,108.73,110.76,3142428,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-12
110.55,113.14,110.55,112.08,3041650,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-13
113.03,115.48,112.27,114.4,2868251,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-14
112.23,113.69,111.25,112.53,3605736,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-15
114.25,114.83,112.56,112.86,3443368,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-19
113.07,114.18,111.02,111.38,3956126,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-20
110.36,110.99,106.85,108.54,6293214,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-21
107.11,107.4,103.83,105.34,5462210,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-22
104.0,104.44,100.68,102.53,3781995,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-25
102.99,103.0,99.82,99.93,4279528,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-26
103.19,108.22,100.88,102.69,7717738,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-27
104.5,108.4,103.04,106.84,4700077,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-28
105.47,107.49,103.39,104.26,3572741,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-01-29
105.13,105.97,102.57,102.86,3751062,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-01
103.94,107.29,103.68,106.04,4662374,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-02
105.94,107.55,105.57,107.21,3983283,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-03
107.99,112.94,107.86,112.66,5857297,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-04
114.5,115.53,113.4,114.48,3960353,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-05
115.01,116.91,114.8,116.0,3439950,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-08
115.58,117.4,114.27,115.93,4090676,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-09
116.94,118.4,116.1,117.62,4010276,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-10
118.0,118.43,115.75,117.16,3294640,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-11
116.79,118.73,116.79,117.75,2516248,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-12
117.46,120.56,116.44,119.8,4152928,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-16
119.37,120.98,117.72,118.91,3149400,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-17
117.5,118.29,115.31,117.02,2385843,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-18
118.57,120.42,117.93,119.56,3078296,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-19
119.45,123.03,119.12,122.58,2926889,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-22
123.74,124.43,120.45,122.54,3036519,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-23
122.46,125.75,122.35,124.48,3357694,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-24
125.48,125.7,118.88,119.24,4093229,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-25
119.53,121.32,116.67,120.19,4024168,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-02-26
122.38,124.8,121.87,123.93,2760687,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-01
123.5,124.71,122.87,123.46,2525172,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-02
124.34,127.05,124.34,125.41,3071312,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-03
124.43,126.19,122.0,125.94,4636193,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-04
127.3,128.45,120.78,127.7,4486477,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-05
128.7,130.64,127.9,128.69,2713135,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-08
127.18,129.14,125.51,126.3,2590801,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-09
127.25,130.04,126.92,129.53,2090500,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-10
128.83,132.61,128.72,132.1,2321457,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-11
133.95,134.7,131.65,132.55,2240979,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-12
132.5,132.73,128.8,132.6,3243777,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-15
131.51,131.67,128.12,128.49,3242338,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-16
129.94,131.68,127.28,131.65,2867604,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-17
132.29,133.58,127.64,128.31,2468031,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-18
127.38,128.07,123.95,126.43,3632612,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-19
125.48,126.42,124.39,125.22,2113213,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-22
123.95,125.33,121.21,122.41,3885069,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-23
124.29,126.41,123.53,123.91,2128138,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-24
123.37,128.13,121.44,127.87,2738527,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-25
129.86,130.49,126.57,129.59,2909473,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-26
127.66,128.4,124.95,126.49,2150926,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-29
127.22,128.85,126.46,128.56,2751527,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-30
128.22,129.47,126.9,127.23,2410342,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-03-31
128.41,130.77,128.21,129.78,2627643,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-01
131.36,133.74,131.0,132.6,2625942,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-05
132.1,132.98,131.05,132.03,2284052,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-06
133.09,134.35,132.49,132.97,1840830,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-07
131.38,133.32,129.89,132.73,2226817,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-08
134.0,134.45,132.4,134.17,2128232,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-09
133.72,134.63,132.86,134.24,2414115,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-12
133.63,133.8,131.38,132.67,2367697,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-13
132.54,136.45,132.32,135.77,2952868,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-14
136.07,136.08,132.85,134.87,3460494,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-15
136.04,137.75,135.26,136.68,3013108,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-16
135.92,136.26,133.89,135.41,2401676,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-19
134.34,134.56,129.98,131.5,2484886,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-20
130.32,133.42,127.8,132.91,3064735,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-21
133.55,134.74,132.23,133.0,2334741,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-22
132.59,136.23,131.38,135.68,2550996,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-23
137.0,139.94,136.81,138.29,2206618,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-26
138.61,139.54,138.04,138.95,3513017,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-27
143.0,147.04,142.0,144.36,4648143,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-28
146.01,149.67,145.71,149.23,3381561,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-29
148.13,150.01,147.78,149.08,3841597,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-04-30
151.07,151.84,148.53,149.92,2667181,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-05-03
148.89,152.38,147.8,152.02,4251293,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-05-04
152.82,154.47,151.45,153.6,3139879,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-05-05
155.0,156.51,152.51,156.44,3684395,0.0,0.0,COF,Capital One,Financials,Consumer Finance,2021-05-06
