Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
319.94,319.94,304.8,307.66,156352,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-03-25
306.97,309.66,302.9,304.18,381585,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-03-26
307.93,307.94,302.22,305.52,568614,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-03-27
305.21,309.77,304.48,308.54,335465,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-03-28
305.64,307.37,303.84,305.9,406544,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-01
305.41,310.65,301.47,310.37,463981,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-02
310.56,317.74,310.38,316.14,725278,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-03
319.05,319.05,304.59,304.83,530393,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-04
305.85,308.31,304.22,306.2,241323,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-05
307.47,308.85,306.18,306.86,318254,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-08
307.61,307.61,303.08,304.59,386602,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-09
300.36,305.33,299.51,303.79,334972,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-10
303.79,306.04,301.9,305.72,372524,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-11
302.58,305.88,297.69,299.91,442751,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-12
304.28,304.28,294.17,296.29,481879,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-15
296.19,302.48,296.0,298.73,444107,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-16
301.44,301.44,295.4,296.27,413709,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-17
297.25,300.96,294.73,295.64,330889,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-18
296.41,297.88,293.01,294.29,371334,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-19
295.85,303.75,294.23,300.9,379212,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-22
302.13,307.58,302.13,306.61,276673,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-23
306.0,308.2,304.37,307.42,289898,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-24
305.2,305.2,297.41,302.08,550157,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-25
302.62,305.9,300.97,303.8,261308,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-26
304.48,305.86,303.26,305.09,200513,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-29
304.63,305.11,301.92,302.14,413140,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-04-30
300.58,303.44,296.2,296.25,426677,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-01
299.08,300.3,295.9,298.94,375681,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-02
301.57,302.4,298.94,299.29,491355,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-03
301.93,304.62,300.02,302.6,463374,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-06
303.26,304.94,302.37,304.72,452405,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-07
304.6,306.54,302.28,304.5,688865,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-08
289.0,297.36,274.6,283.22,1174193,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-09
285.33,287.85,282.85,283.44,866310,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-10
284.18,291.35,283.42,287.51,745305,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-13
287.3,288.45,279.18,283.3,682014,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-14
283.37,284.13,278.81,279.06,804262,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-15
279.17,285.77,278.6,282.86,574741,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-16
280.58,283.18,278.56,279.53,477451,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-17
281.0,282.24,278.56,278.94,441057,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-20
277.76,278.29,272.81,273.11,740109,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-21
272.67,274.5,271.64,272.77,414674,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-22
272.6,274.53,268.07,269.95,309249,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-23
270.65,271.27,267.73,267.93,396679,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-24
267.51,267.91,262.87,263.16,545434,0.0,0.0,CPAY,Corpay,Financials,Transaction & Payment Processing Services,2024-05-28
