Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
91.78,91.78,89.66,90.82,473525,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-26
90.68,91.8,89.3,89.3,778993,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-27
88.0,88.4,87.1,88.18,1434740,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-28
87.91,89.63,86.78,87.8,1134611,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-29
88.67,93.07,88.33,92.24,1207525,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-30
92.8,94.68,91.88,94.51,675800,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-02
95.66,99.01,94.93,98.38,422213,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-03
98.27,98.95,96.98,97.38,802810,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-04
98.07,98.68,97.04,97.46,506171,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-05
97.34,97.77,95.09,95.6,981129,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-06
102.89,110.0,98.24,98.6,1359874,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-09
97.49,103.09,97.49,101.4,1107726,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-10
101.82,101.82,99.6,100.0,975350,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-11
99.13,100.2,98.11,99.91,631496,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-12
100.64,101.43,99.92,100.31,1228571,0.0,0.0,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-13
