Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
83.52,83.74,81.17,82.23,1323568,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-10-26
82.66,83.0,80.75,81.0,2167180,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-10-27
78.65,80.34,78.65,78.89,2123668,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-10-28
78.61,80.92,77.92,79.98,1556416,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-10-29
79.58,80.11,77.95,78.64,2308396,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-10-30
80.41,80.87,79.02,80.09,1426308,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-02
81.12,83.01,81.12,82.5,1172752,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-03
86.84,87.3,84.18,84.34,2234280,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-04
84.83,86.36,84.1,84.77,1628712,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-05
84.64,85.55,84.17,85.23,1323888,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-06
90.0,92.03,89.59,90.86,4173504,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-09
88.52,91.5,87.85,89.67,2025604,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-10
90.22,90.36,88.52,90.01,1493636,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-11
89.05,89.78,87.02,87.42,1206336,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-12
87.85,89.15,87.52,89.0,1051216,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-13
89.0,92.3,89.0,92.16,1548412,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-16
90.68,91.42,89.34,90.35,1456100,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-17
90.51,91.56,89.82,90.12,1001300,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-18
89.68,92.12,89.44,91.97,1032944,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-19
91.28,91.9,90.11,90.46,1033092,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-20
90.98,91.13,89.0,89.57,1316528,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-23
90.56,91.19,89.62,90.49,1570220,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-24
90.52,91.07,89.59,90.12,769632,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-25
89.81,91.28,89.73,90.27,448664,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-27
90.44,90.6,88.53,88.82,2084628,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-11-30
89.76,90.88,89.17,89.77,1546396,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-01
90.05,90.7,89.06,90.23,2159252,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-02
89.76,91.37,88.58,89.92,1759144,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-03
90.17,91.7,90.0,90.87,1868320,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-04
90.14,91.0,88.08,88.28,1463204,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-07
88.28,90.15,87.76,89.94,1438032,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-08
90.28,90.72,88.04,88.51,2113532,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-09
88.61,88.73,86.63,86.84,1461000,0.0,0.0,CTAS,Cintas,Industrials,Diversified Support Services,2020-12-10
