Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
8.14,8.28,7.99,8.04,71238,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-10-26
8.04,8.4,7.92,7.95,39090,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-10-27
7.94,8.0,7.46,7.48,154090,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-10-28
7.48,7.53,6.72,6.85,192632,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-10-29
6.8,6.82,6.37,6.45,76867,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-10-30
6.52,6.96,6.42,6.94,45478,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-02
7.0,7.6,6.83,7.59,38769,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-03
7.52,7.53,6.56,6.64,59854,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-04
6.65,7.39,6.65,7.26,48097,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-05
7.25,7.75,7.06,7.53,56186,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-06
7.75,8.36,7.52,7.98,98907,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-09
7.95,8.35,7.8,8.32,64752,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-10
8.32,8.6,8.09,8.31,66948,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-11
8.39,8.39,8.0,8.03,46855,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-12
8.14,8.71,8.11,8.31,68664,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-13
8.42,8.62,8.25,8.25,93523,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-16
8.25,8.35,8.03,8.1,108874,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-17
8.15,8.68,7.72,7.75,146786,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-18
7.75,7.83,7.43,7.54,101382,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-19
7.5,7.54,7.21,7.21,93750,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-20
6.98,7.5,6.96,7.14,101013,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-23
7.23,8.19,7.23,7.69,130484,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-24
7.67,8.01,7.46,7.79,109932,0.0,0.0,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2020-11-25
