Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
73.2,73.45,71.87,72.71,6195658,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-10-26
72.83,73.5,72.52,73.39,5498403,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-10-27
72.36,72.93,70.98,71.1,8444543,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-10-28
74.83,76.45,70.81,71.02,7110849,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-10-29
70.47,71.78,69.97,71.42,4298214,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-10-30
71.47,71.91,70.29,70.8,3276126,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-02
71.92,72.94,71.41,71.94,2089612,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-03
73.77,74.09,71.86,73.02,2427350,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-04
73.77,74.91,73.42,74.24,2079270,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-05
74.48,74.62,73.6,74.22,1394681,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-06
75.19,78.21,73.82,73.88,3344135,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-09
73.76,75.49,73.53,75.1,3789867,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-10
75.51,77.09,75.44,76.76,3254337,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-11
76.82,77.18,75.59,76.22,3087184,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-12
77.0,77.67,76.8,77.19,2681154,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-13
77.87,78.47,77.23,77.8,2162525,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-16
76.75,77.38,76.17,77.0,2026769,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-17
76.47,76.77,74.68,74.7,4192621,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-18
74.99,76.3,74.56,76.2,2915689,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-19
75.92,76.28,75.67,75.9,2277130,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-20
76.0,77.3,75.92,77.2,1958073,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-23
77.95,78.77,77.26,78.75,2594878,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-24
78.94,79.0,78.17,78.55,2189506,0.0,0.0,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2020-11-25
