Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
59.91,59.98,58.67,59.56,7641665,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-10-26
59.12,59.26,58.11,58.15,5520442,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-10-27
57.36,57.94,56.44,56.57,10785951,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-10-28
56.46,56.67,55.36,55.93,9884455,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-10-29
55.93,56.3,55.4,56.09,8736766,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-10-30
56.87,58.23,56.19,58.08,9636436,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-02
58.46,60.08,58.4,59.45,7266979,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-03
61.25,61.96,60.22,60.37,11387739,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-04
61.36,62.61,61.03,61.41,10280380,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-05
63.05,67.33,63.02,64.95,24739824,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-06
69.0,69.63,65.78,67.53,16051490,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-09
68.45,70.65,68.0,70.23,15222349,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-10
70.1,71.01,69.45,69.51,9842708,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-11
69.0,69.9,68.44,69.39,6201133,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-12
69.71,71.18,69.08,71.0,6808347,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-13
73.59,74.06,72.47,73.47,13622378,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-16
68.25,68.72,66.65,67.14,35095372,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-17
67.5,68.27,66.29,66.35,12018299,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-18
66.02,66.49,65.18,66.06,11828512,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-19
65.9,66.87,65.82,66.39,9083453,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-20
66.87,67.48,66.4,66.78,6056208,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-23
67.26,68.83,66.73,68.43,8455957,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-24
68.33,68.4,67.08,67.63,6903735,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-25
67.71,68.16,67.48,67.87,2803745,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-27
67.81,68.09,67.2,67.79,8368951,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-11-30
68.39,69.33,67.36,67.54,8354698,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-01
67.55,70.29,67.45,69.63,8268469,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-02
69.71,72.63,69.23,72.52,13391335,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-03
72.72,74.52,72.57,74.5,12112799,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-04
74.23,74.64,72.43,73.63,6979886,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-07
72.73,73.94,72.62,73.86,6199527,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-08
74.38,74.44,72.86,73.53,6959389,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-09
72.77,73.16,72.08,72.21,6127576,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-10
72.0,72.11,70.65,71.58,6616066,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-11
72.31,72.33,69.68,69.72,7246341,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-14
70.08,70.19,68.8,69.89,7909510,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-15
69.15,69.63,68.35,69.32,7506715,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-16
69.45,69.89,68.69,69.59,7593209,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-17
69.74,69.79,68.82,69.55,13466647,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-18
68.7,68.96,67.96,68.71,7141879,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-21
68.43,68.55,67.06,67.22,5791794,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-22
67.53,68.48,67.49,68.01,5015922,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-23
68.17,68.17,67.49,67.97,2117597,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-24
68.24,68.99,67.72,68.08,4906935,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-28
68.4,69.31,67.72,67.9,4460788,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-29
68.08,68.09,67.43,67.75,5023848,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-30
67.7,68.41,67.08,68.3,5461415,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2020-12-31
68.68,70.29,68.13,69.99,11520892,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-04
70.33,71.02,69.38,70.46,8194989,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-05
70.0,73.03,69.95,72.56,10262054,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-06
73.05,74.42,72.28,73.99,8083859,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-07
75.0,76.33,74.42,74.86,11576651,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-08
74.25,76.48,74.25,76.07,6871079,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-11
76.04,77.23,75.54,76.26,5773338,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-12
75.95,76.12,74.52,74.92,6356880,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-13
75.0,75.68,74.34,75.05,5216000,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-14
75.02,76.45,74.85,76.26,8589683,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-15
77.0,77.0,75.31,75.4,6115725,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-19
75.42,75.46,74.59,75.25,4861439,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-20
74.7,74.86,73.54,74.08,5132716,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-21
73.73,74.3,73.02,74.12,4267351,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-22
73.5,73.53,72.16,73.21,7715911,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-25
73.37,74.38,73.28,74.23,4755757,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-26
73.53,74.19,72.19,72.42,6369153,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-27
72.44,73.79,72.22,72.61,5128415,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-28
72.52,73.3,71.04,71.65,6562926,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-01-29
72.08,72.47,71.34,71.46,5316270,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-01
71.7,72.64,71.2,71.83,5620852,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-02
71.74,73.67,71.34,73.24,6227699,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-03
73.4,74.04,72.79,73.0,8213551,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-04
73.23,73.36,71.93,72.18,6504387,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-05
72.47,72.99,72.17,72.98,5940301,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-08
73.24,74.14,72.85,73.49,8191007,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-09
73.95,74.16,72.81,73.83,4834013,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-10
74.0,74.08,72.92,73.6,4799503,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-11
73.57,74.56,73.54,74.21,5944019,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-12
75.27,75.39,70.18,70.53,19127837,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-16
70.25,72.85,70.12,72.71,13517516,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-17
72.65,72.97,71.32,71.52,7473228,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-18
71.4,71.42,70.29,70.42,6773559,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-19
70.3,70.64,69.37,70.48,6169598,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-22
69.72,70.8,69.46,69.64,8328679,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-23
69.89,70.54,69.39,70.4,5961999,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-24
69.98,70.65,69.16,69.33,5383093,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-25
69.27,69.32,68.02,68.13,10328443,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-02-26
68.42,69.57,68.26,69.28,5805938,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-01
69.49,69.64,68.87,68.94,5330906,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-02
68.97,69.51,68.28,69.03,6276421,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-03
68.96,70.04,68.42,69.17,7506093,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-04
69.4,70.95,69.16,70.63,8380382,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-05
71.29,72.54,70.78,71.73,9113071,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-08
72.35,73.05,71.18,71.23,8968158,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-09
71.71,73.09,71.13,72.7,7572868,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-10
72.95,73.43,72.32,72.35,5654724,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-11
72.69,74.05,72.5,73.92,6361424,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-12
73.89,75.21,73.58,74.97,7254142,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-15
75.0,75.25,74.15,75.07,5868790,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-16
73.74,74.39,72.88,74.01,8089833,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-17
74.01,75.29,73.81,74.48,6945928,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-18
74.5,74.65,73.17,73.18,11142470,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-19
72.92,73.57,72.35,73.47,6985092,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-22
73.11,73.44,71.8,71.9,7293443,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-23
72.12,74.3,71.7,73.21,7634621,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-24
73.25,74.25,72.29,74.07,5608226,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-25
74.36,76.0,74.12,75.96,9124664,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-26
75.7,76.87,75.51,76.3,6234413,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-29
76.17,76.81,75.73,76.08,5820510,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-30
75.96,76.17,75.2,75.23,6420814,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-03-31
75.23,75.3,73.91,74.3,7106372,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-01
74.17,75.4,74.13,75.04,6248395,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-05
75.18,75.18,74.38,74.62,6872828,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-06
74.87,74.92,74.14,74.49,5215209,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-07
74.3,74.36,73.61,73.79,5273036,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-08
74.0,74.2,73.59,74.07,4753792,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-09
74.33,74.93,74.25,74.46,4375985,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-12
74.06,74.35,73.3,74.02,4050690,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-13
74.0,75.18,73.98,75.08,4087198,0.0,0.0,CVS,CVS Health,Health Care,Health Care Services,2021-04-14
