Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
43.36,43.4,42.81,43.26,25126920,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-10-26
43.04,43.04,41.87,41.88,24514561,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-10-27
40.97,41.59,40.74,41.13,27909800,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-10-28
41.13,42.15,40.71,41.66,23576306,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-10-29
41.03,41.54,40.49,41.42,27153978,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-10-30
41.86,42.67,41.2,42.21,24580947,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-02
43.3,44.02,43.06,43.53,30303954,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-03
42.53,43.41,41.9,42.08,26312544,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-04
42.34,43.58,42.18,43.07,25200300,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-05
43.51,43.61,42.5,42.71,17842190,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-06
46.87,48.78,46.26,47.64,58257637,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-09
48.31,48.75,47.45,47.65,34248116,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-10
47.9,49.29,47.68,48.93,30106548,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-11
47.97,48.41,47.71,48.28,28675106,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-12
48.65,49.06,48.4,48.66,18900045,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-13
50.41,51.02,49.86,50.4,27586826,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-16
49.84,50.93,49.48,50.73,19336414,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-17
51.09,52.64,51.01,51.05,26219608,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-18
51.6,52.32,50.95,52.14,20671577,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-19
51.83,52.11,51.19,51.65,16138708,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-20
52.51,53.63,52.29,53.3,29244689,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-23
54.48,57.14,54.48,57.06,33662713,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-24
56.27,57.16,55.33,57.06,28935355,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-25
57.0,57.24,56.12,56.67,14228076,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-27
56.14,56.54,55.0,55.07,23607752,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-11-30
56.55,56.74,55.4,55.47,24147790,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-01
55.36,57.42,55.25,57.2,26931564,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-02
57.38,57.44,56.2,56.58,19029278,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-03
57.56,58.82,57.31,58.62,24940353,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-04
58.15,58.61,57.28,58.13,21535531,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-07
57.48,58.4,57.36,58.36,15758674,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-08
59.16,59.55,58.3,58.95,27620297,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-09
58.04,60.78,58.01,60.5,26070346,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-10
59.8,59.81,58.18,58.93,21232819,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-11
60.0,60.26,58.73,58.74,19958253,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-14
58.74,59.86,58.57,59.67,16468799,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-15
60.06,60.14,59.36,59.75,15151731,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-16
60.0,60.29,59.57,60.05,18132761,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-17
60.3,60.3,58.71,59.06,30618387,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-18
60.35,61.82,59.81,61.23,32498255,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-21
61.1,61.14,59.16,59.26,18166626,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-22
60.0,61.31,59.79,60.78,16921915,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-23
60.93,61.09,59.88,60.57,6824395,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-24
60.62,61.93,60.49,61.13,14618716,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-28
61.15,61.4,60.55,60.91,10985272,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-29
60.91,61.26,60.67,60.86,10871324,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-30
60.67,61.85,60.53,61.66,12594562,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2020-12-31
61.59,61.71,59.73,60.14,21674520,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-04
60.35,62.0,60.04,61.7,20450543,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-05
64.49,66.6,63.95,65.25,39000196,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-06
67.07,68.1,66.01,66.02,24672675,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-07
66.21,66.21,64.34,65.37,21058899,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-08
64.58,66.62,64.33,66.44,20793238,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-11
67.49,67.74,66.24,66.67,20506896,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-12
67.0,67.22,65.99,66.86,18885441,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-13
67.52,69.42,67.17,69.01,29420630,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-14
67.37,67.65,64.09,64.23,38957680,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-15
65.2,65.25,62.91,63.69,27699411,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-19
63.75,63.82,62.84,63.25,17785196,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-20
63.21,63.34,61.74,61.87,19691561,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-21
60.94,61.83,60.19,61.33,25119189,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-22
60.67,60.77,59.17,60.56,26153009,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-25
61.2,61.24,60.09,60.91,19061200,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-26
59.9,60.0,58.53,59.4,25042847,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-27
60.15,61.06,59.63,60.34,20207380,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-28
59.96,60.2,57.69,57.99,27400737,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-01-29
58.66,58.67,57.4,58.43,16337466,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-02-01
59.6,60.25,59.3,59.58,18941045,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-02-02
59.41,61.15,59.32,61.1,19011569,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-02-03
61.57,62.63,61.42,62.41,16856523,0.0,0.0,C,Citigroup,Financials,Diversified Banks,2021-02-04
